Utterance_Das,Original_Label,DeepSeek
"Uh, how is he at handling small objects? (Question) ",neutral,neutral
"He can hold a banana, if that's whatcha mean... (Answer) ",neutral,neutral
"How about a hammer, or a small blade? (Question) ",neutral,fear
Otherwise it's just cruel. (Statement Opinion) ,neutral,disgust
"He- he- he got in, he- he got in to San Diego. (Statement Non Opinion) ",joy,joy
"We, we come back from our walk and the- the phone was ringing... (Statement Non Opinion) ",neutral,neutral
...He's in. (Statement Non Opinion) ,neutral,neutral
"He's in! Oh, did you hear that, Marcel? San Diego. San Diego! (Statement Non Opinion) ",joy,joy
You're making a big mistake here. (Statement Opinion) ,disgust,anger
"I mean, San Diego's all well and good, but if you give him to me, I'll start him off against a blind rabbit and give you twenty percent of the gains. (Statement Opinion) ",neutral,disgust
My specimen is in the room and I just want to thank whoever knocked on the door while I was in there. (Statement Non Opinion) ,neutral,neutral
Really helped speed the process along! (Statement Opinion) ,joy,joy
Janice! (Others) ,surprise,surprise
You're not... gone? (Question) ,surprise,surprise
Sid is still in his room. (Answer) ,neutral,neutral
I don't allow porn at home so this is like a vacation for him. (Statement Non Opinion) ,joy,neutral
So did you do it? (Question) ,surprise,neutral
Did you make your deposit? (Question) ,neutral,neutral
Yeah! yeah... The hard part is over! (Answer) ,joy,joy
"That's not the hard part honey! The hard part is what comes next, I mean aren't you worried about the results? (Question) ",fear,fear
I haven't... I haven't even thought about the results yet... I just assumed that everything was gonna be ok. (Answer) ,joy,sadness
"Oh! Well, you know what? It probably is. (Statement Opinion) ",neutral,joy
"Phoebe, where's your purse? (Question) ",fear,neutral
"No, no! Give it to me! (Command) ",anger,anger
You can't have it. (Statement Opinion) ,anger,neutral
Give it to me! (Command) ,anger,anger
No (Disagreement) ,anger,anger
I'll go in there. (Statement Non Opinion) ,anger,neutral
Oh yeah. (Agreement) ,anger,neutral
Phoebe come here (Command) ,neutral,anger
Haha! (Others) ,joy,joy
Damn you Monica Geller hyphen Bing! (Others) ,anger,anger
"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial. (Statement Non Opinion) ",disgust,disgust
I just had sex. (Statement Non Opinion) ,neutral,joy
"Ethan, focus. How could you not tell me? (Question) ",surprise,anger
"Well, you never told me how old you were. (Answer) ",neutral,neutral
"Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking? (Question) ",disgust,anger
I wasn't thinking. I was too busy fallin'... (Answer) ,joy,neutral
Don't say it. (Command) ,fear,anger
...in love with you. (Statement Non Opinion) ,joy,joy
Really? (Question) ,surprise,surprise
Sorry. (Apology) ,sadness,sadness
"Well,fall out of it. (Statement Non Opinion) ",anger,anger
"You know, you shouldn't even be here, it's a school night. (Statement Opinion) ",anger,anger
"Oh god, oh god. (Others) ",joy,fear
I'm like those women that you see with shiny guys named Chad. (Statement Non Opinion) ,disgust,sadness
I'm Joan Collins. (Statement Non Opinion) ,disgust,neutral
Who? (Question) ,neutral,neutral
"That's right, still no baby! Come on people! Please make some room! (Statement Non Opinion) ",sadness,anger
"Uh sweetie, maybe you'd be more comfortable here? (Statement Opinion) ",neutral,neutral
You. Like you haven't done enough. (Statement Opinion) ,anger,anger
"Look, I-I know how miserable you are, I wish there was something I can do. (Statement Non Opinion) ",neutral,sadness
I mean I wish I were a seahorse. (Statement Opinion) ,neutral,joy
"Because with seahorses it's the male, they carry the babies. (Statement Non Opinion) ",neutral,neutral
"And then also umm, I'd be far away in the sea. (Statement Non Opinion) ",anger,neutral
God. I have never been so uncomfortable in my entire life! (Statement Non Opinion) ,joy,sadness
"Oh I know, I've been there. I remember toward the end (Statement Non Opinion) ",neutral,neutral
"Oh Phoebe, that's a great story. (Statement Opinion) ",neutral,joy
Can you tell it to me when you're getting me some iced tea? (Question) ,sadness,neutral
"Oh God, get out! (Command) ",anger,anger
Get out!! (Command) ,anger,anger
Get out!! (Command) ,anger,anger
Get out! (Command) ,anger,anger
Let's. (Others) ,neutral,neutral
"All right, I know! I know. Yeah, it'll be okay. (Statement Non Opinion) ",joy,neutral
Oh my God....What's he gonna do now? (Question) ,fear,fear
I can't watch! (Statement Non Opinion) ,fear,fear
Oh. (Others) ,neutral,surprise
"Seriously, how can you watch this? (Question) ",sadness,disgust
Aren't you scared? (Question) ,fear,fear
Terrified. (Answer) ,fear,fear
Oh-hey-hey-hey! There you are! (Greeting) ,joy,joy
"Umm, listen there's something I think you should know. (Statement Opinion) ",neutral,neutral
"Oh, is this about you-you dating the nurse? (Question) ",surprise,neutral
"Yeah, Joey already told me, and I am so-so fine. (Answer) ",neutral,sadness
"I mean, you and I we're just, y'know, we're nothing, we're goofin' around. (Statement Non Opinion) ",neutral,neutral
"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I (Statement Opinion) ",neutral,sadness
Fine! Maybe I will too! (Statement Opinion) ,joy,anger
"Well, it was quite large. I-I-I-I-I had to throw most of it away. (Statement Non Opinion) ",fear,neutral
You-you-you-you threw my sandwich away! (Question) ,fear,anger
MY SANDWICH?!!! (Question) ,anger,anger
MY SANDWICH!!!!!! (Question) ,anger,anger
"What's the matter, Pheebs? (Question) ",neutral,neutral
She cancelled! My namesake cancelled on me! (Answer) ,anger,anger
What?! (Question) ,surprise,surprise
"Yeah, she clamed she had to go out of town suddenly. (Answer) ",sadness,sadness
"She's avoiding me, she doesn't want to tell me where my Father is. (Statement Non Opinion) ",sadness,anger
"She knows, and she won't tell me. (Statement Non Opinion) ",sadness,anger
"Aww Pheebs, that sucks! (Statement Opinion) ",sadness,sadness
"Yeah, well, don't “Aww Pheebs, that sucks!” me yet. (Statement Non Opinion) ",sadness,anger
Where ya going? (Question) ,neutral,neutral
"Well, she's out of town so, there's gotta be something in her house that tells me where my Father is. (Answer) ",neutral,neutral
"Uh, Pheebs, some people call that breaking and entering. (Statement Non Opinion) ",fear,neutral
"Well, are any of those people here?! (Question) ",anger,anger
"Oh my God, so do I! (Agreement) ",surprise,joy
"I knew it, wow!! (Statement Non Opinion) ",surprise,surprise
"Wait-wait-wait, wait! Puppies. Cute or ugly? (Question) ",neutral,neutral
"Ohh, so cute. (Answer) ",joy,joy
"Uh-huh, well! But umm, still I'm-I'm mad at you. (Statement Non Opinion) ",anger,anger
I know. I'm mad at me too. (Agreement) ,anger,sadness
"Well umm, do you wanna get something to eat? I'm kinda hungry. (Question) ",neutral,neutral
Hey! Me too! (Agreement) ,surprise,joy
"All right, stop it. Now you're just doing it to freak me out. (Command) ",sadness,anger
"Ok, you can do this. (Statement Non Opinion) ",neutral,neutral
It's just like pulling off a Band-aid. (Statement Non Opinion) ,neutral,neutral
"Just do it really fast, and then the wound is exposed. (Statement Non Opinion) ",neutral,neutral
"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice. (Statement Opinion) ",sadness,sadness
"All right. Well, there you go. Stop it, stop it, stop it. (Command) ",anger,anger
Oh my God! That guy at the counter is totally checking you out! (Statement Non Opinion) ,surprise,surprise
"Really? My God, he's really cute. (Statement Opinion) ",surprise,joy
Go for it. (Command) ,neutral,neutral
"Phoebe, I'm engaged! (Disagreement) ",surprise,anger
"I'm just saying, get his number just in case. (Statement Non Opinion) ",neutral,neutral
But no: Chandler is in an accident and can't perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill. (Statement Opinion) ,neutral,disgust
"Op, can I just tell you something? Very flattered but umm, I'm engaged. (Statement Non Opinion) ",joy,neutral
Well you should be embarrassed. (Statement Opinion) ,disgust,anger
"I did, but that was really fun. (Statement Opinion) ",joy,joy
Hey. (Greeting) ,neutral,neutral
Chandler. I sensed it was you. (Statement Non Opinion) ,neutral,neutral
What?! (Question) ,surprise,surprise
Unagi. I'm always aware. (Statement Non Opinion) ,neutral,neutral
"Okay, are you aware unagi is an eel? (Question) ",joy,neutral
What's up? (Question) ,neutral,neutral
I can't figure out what to make Monica. (Statement Non Opinion) ,neutral,sadness
"Oh, why don't you make her one of your little jokes. (Statement Opinion) ",anger,neutral
I'm going crazy! Okay? Do you have any thing around here that looks homemade? (Question) ,fear,anger
Y'know what? (Question) ,neutral,neutral
She'd-she'd love this. (Statement Non Opinion) ,neutral,joy
"Uh, it's an exact replica of Apollo 8. (Statement Non Opinion) ",neutral,neutral
I made it in the sixth grade. (Statement Non Opinion) ,neutral,neutral
"Yeah, I guess I could use that. I could say that your love sends me to the moon. (Statement Opinion) ",neutral,joy
"Yeah-yeah, except Apollo 8 didn't actually land on the moon. (Statement Non Opinion) ",neutral,neutral
"But you-you-you could write that umm, your love lets me orbit the moon twice and return safely. (Statement Non Opinion) ",joy,neutral
"Wait a minute, I can't give this to her. (Statement Opinion) ",neutral,anger
Why not? (Question) ,neutral,neutral
"Because it says ""Captain Ross"" on the side and ""I hate Monica"" on the bottom. (Answer) ",neutral,disgust
Oh. Oh I just cannot believe Clark stood me up! (Statement Opinion) ,anger,anger
He might still show up. (Statement Non Opinion) ,neutral,neutral
"Oh, what are you, stupid? It's been three hours. (Statement Non Opinion) ",anger,anger
Is that all? (Question) ,neutral,surprise
"I should just go on to happier things, okay? Umm, why don't you tell about your lovely wedding? (Statement Non Opinion) ",sadness,sadness
"Well actually uh, there was something we wanted to tell you about the wedding. (Statement Non Opinion) ",neutral,neutral
"Um, it's going to be a small ceremony. (Statement Non Opinion) ",neutral,neutral
"Uh, tiny! (Statement Non Opinion) ",surprise,neutral
We're not even sure why we're having it. (Statement Non Opinion) ,neutral,neutral
It's actually going to be just family. (Statement Non Opinion) ,neutral,neutral
"Oh...wait...you two think of me as family?! Oh, I have to ask you something now and be honest; do you want me to sing (Question) ",surprise,surprise
"Come here to me. No-no, you come here to me. (Command) ",neutral,anger
Hey Ross! I brought reinforcements. (Greeting) ,joy,joy
"Oh great! What, you brought Joey? (Question) ",joy,surprise
"Well, I brought the next best thing. (Answer) ",neutral,neutral
Whoa! Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much. (Statement Opinion) ,surprise,anger
"Ohh, Joey has the nicest friends! (Statement Non Opinion) ",joy,joy
"Ohh, and the nicest girlfriend! (Statement Non Opinion) ",joy,joy
You're so sweet! (Statement Opinion) ,joy,joy
"Ohh, you're so sweet! (Statement Opinion) ",joy,joy
"Oww!!!! Joey, she just kicked me. (Statement Non Opinion) ",surprise,anger
Huh. (Backchannel) ,neutral,neutral
Well? Aren't you gonna do something? (Question) ,neutral,anger
Uhh.... (Backchannel) ,neutral,neutral
"You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna? (Question) ",anger,anger
Nah. (Answer) ,neutral,neutral
"How could you pick up a hitchhiker?! He could be a rape--, a rapist or a killer or something! (Question) ",fear,fear
Don't you think I asked him that before he got in?! (Question) ,surprise,anger
"Y'know what? I'm not talking to you! You go back to sleep! And you, are you a rapist?! (Question) ",anger,anger
No! (Answer) ,anger,neutral
Do you like car games? (Question) ,neutral,neutral
"Yeah, y'know the license plate game? (Question) ",neutral,joy
I (Others) ,neutral,neutral
"Ooh, I'll play! I'll play! (Statement Non Opinion) ",joy,joy
No-No! You need your sleep. Night-night! Shh! (Disagreement) ,anger,anger
"Pheebs, can you help me pick out an engagement ring for Monica? (Question) ",neutral,joy
I can't figure this out! (Statement Non Opinion) ,anger,sadness
It's so hard! (Statement Non Opinion) ,sadness,sadness
Should I get her a Tiffany cut or a Princess cut or a--ah-ah! (Question) ,sadness,fear
Paper cut! (Answer) ,sadness,surprise
"Now, have you told anyone else? (Question) ",neutral,neutral
"No, I don't want to tell anybody else because I don't want Monica to find out. (Answer) ",neutral,neutral
You told me. (Statement Non Opinion) ,surprise,neutral
"Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures. (Statement Opinion) ",anger,joy
"Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet. (Statement Non Opinion) ",surprise,disgust
Me too. (Statement Non Opinion) ,neutral,neutral
Hey. (Greeting) ,neutral,neutral
Hey. (Greeting) ,neutral,neutral
"Hey! So Chandler, wanna go to the coffeehouse? (Question) ",joy,joy
Oh all right. (Answer) ,neutral,neutral
"Oh perfect, we were just gonna see if you wanted to go. (Statement Non Opinion) ",neutral,neutral
"Oh well, we don't because we got...the...other pl-place. (Statement Non Opinion) ",neutral,fear
How rude. (Statement Opinion) ,disgust,anger
"Oh, I'm sorry. You wanna bite? (Question) ",surprise,neutral
"The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring! (Statement Non Opinion) ",surprise,anger
What? (Question) ,surprise,surprise
The ring is gone! (Answer) ,surprise,sadness
Ugh. (Backchannel) ,disgust,disgust
"Just a sec, give me a minute to wake up for this--Ah-ha-ha!! (Statement Non Opinion) ",neutral,joy
You lost the ring! (Statement Non Opinion) ,joy,anger
You're the worst best man ever! (Statement Opinion) ,anger,anger
"Dude, this isn't funny! (Statement Opinion) ",anger,anger
What am I gonna do?! (Question) ,fear,fear
"I go to bed last night, everything's cool! (Statement Non Opinion) ",joy,neutral
"I wake up this morning, the stripper's gone and the ring is gone! (Statement Non Opinion) ",fear,sadness
You slept with the stripper? (Question) ,surprise,surprise
Of course!! (Answer) ,fear,joy
What difference does that make?! (Question) ,anger,anger
"Well, I'm just--if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference! (Answer) ",anger,joy
"Joey, do you have a minute? (Question) ",neutral,neutral
"Dude, what am I gonna (Question) ",fear,sadness
"Uh, Rachel's here, so good luck man, let me know how it works out. (Statement Non Opinion) ",anger,neutral
"Oh, Joey, I have such a problem! (Statement Non Opinion) ",fear,sadness
"Oh well, you're timing couldn't be better. I am putting out fires all over the place. (Statement Non Opinion) ",neutral,neutral
"Okay. Okay. Okay. Joey, I have (Others) ",neutral,surprise
"What-what is it, what is it? (Question) ",neutral,surprise
"Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone. (Answer) ",surprise,surprise
"Oh no, no-no-no-no! I don't want to know! (Statement Non Opinion) ",fear,fear
"Yes! Yes! Yes, you do want to know! This is unbelievable! (Disagreement) ",anger,joy
"I don't care, Rach! Look, I am tired of being the guy who knows all the secrets but can't tell anyone! (Statement Non Opinion) ",disgust,anger
What? What secrets? You know secrets? What are they? (Question) ,surprise,surprise
And you're not supposed to be gossiping!! (Statement Non Opinion) ,disgust,anger
"I know, I know! I just can't keep this one in, so I pick up the phone (Statement Non Opinion) ",fear,sadness
I'm not listening to you! (Statement Non Opinion) ,anger,anger
Oh! Yay! Look! There's a piece that doesn't have floor on it! (Statement Non Opinion) ,joy,joy
"Hey, come on now! (Statement Non Opinion) ",anger,anger
"All right, what are we havin'? (Question) ",neutral,neutral
"Uhh, I don't believe in these crazy diets y'know, just everything in moderation. (Statement Opinion) ",neutral,disgust
I'll take those to go. For the kids. (Statement Non Opinion) ,neutral,neutral
"Oh, I know what I wanted to ask you. You were on the show years ago and then they killed you off. What happened there? (Question) ",neutral,surprise
"It was so stupid, I said some stuff in an interview that I shouldn't have said. (Statement Opinion) ",anger,sadness
"But believe me, that's not gonna happen today. (Statement Opinion) ",neutral,joy
"Understood. So, what'd you say back then? (Question) ",neutral,neutral
"Well, I said that I (Answer) ",neutral,neutral
Ha! (Statement Non Opinion) ,neutral,joy
So you like the drums! (Statement Non Opinion) ,joy,neutral
"That's, that's great! (Statement Opinion) ",joy,joy
"Y'know, I was worried, that, you know, they would maybe an unbearable living situation. (Statement Opinion) ",neutral,fear
"All right, okay, well, apparently not! (Statement Non Opinion) ",sadness,neutral
"So, yay! (Others) ",joy,joy
"Hey-hey, Pheebs, check it out, we already learned a song. Ready? One, two, three, four... (Command) ",neutral,joy
Tequila!! (Others) ,joy,joy
That's fun. (Statement Opinion) ,joy,joy
"Whoa-whoa, Treeger made you cry? (Question) ",surprise,surprise
Yes! And he said really mean things that were only partly true. (Answer) ,sadness,sadness
I'm gonna go down there and teach that guy a lesson. (Statement Non Opinion) ,anger,anger
"Joey, please don't do that. I think it's best that we just forget about it. (Statement Opinion) ",fear,neutral
"That's easy for you to say, you weren't almost just killed. (Statement Non Opinion) ",anger,anger
"All right that's it, school is in session! (Statement Non Opinion) ",neutral,anger
My God! Is this a gym card? (Question) ,surprise,surprise
"Oh yeah, gym member. I try to go four times a week, but I've missed the last 1200 times. (Answer) ",neutral,neutral
So why don't you quit? (Question) ,neutral,neutral
You don't think I've tried? You think I (Answer) ,joy,neutral
Who is Maria? (Question) ,neutral,neutral
"Oh Maria. You can't say no to her, she's like this lycra spandex covered gym...treat. (Answer) ",joy,joy
You need me to go down there with you and hold your hand? (Question) ,neutral,neutral
No! (Answer) ,anger,neutral
So you're strong enough to face her on your own? (Question) ,neutral,neutral
"Oh no, you'll have to come. (Answer) ",fear,neutral
"Pheebs, I don't think anyone's mad about that. (Statement Opinion) ",neutral,neutral
Exactly! Because it's in the past! (Agreement) ,anger,joy
Anybody gonna eat that? (Question) ,neutral,neutral
Pheebs! (Others) ,joy,neutral
Hey! (Greeting) ,joy,joy
"Listen, you know how uh, when you're wearing pants and you lean forward I check out your underwear? (Statement Non Opinion) ",neutral,neutral
Yeah! (Backchannel) ,neutral,joy
"Well, when Jake did it I saw that...he was wearing women's underwear! (Statement Non Opinion) ",surprise,surprise
I know. They were mine. (Statement Non Opinion) ,neutral,neutral
"Oh. No! No wait, that's weird! (Statement Opinion) ",disgust,disgust
"No, it's not! We were just goofing around and I dared him to try them on. (Statement Non Opinion) ",neutral,neutral
That's weird! (Statement Opinion) ,disgust,disgust
I'm wearing his briefs right now. (Statement Non Opinion) ,neutral,neutral
That's...kinda hot. (Statement Opinion) ,surprise,joy
I think so too. And that little flap? Great for holding my lipstick. (Agreement) ,joy,joy
"Yeah, I wouldn't know about that. (Statement Non Opinion) ",neutral,neutral
And! Y'know what Jake says? That women's underwear is actually more comfortable. And he loves the way the silk feels against his skin. (Statement Non Opinion) ,joy,neutral
"Yeah well next thing you know, he'll be telling you that your high heels are good for his posture! (Statement Non Opinion) ",disgust,anger
There is nothing wrong with Jake! Okay? He is all man! I'm thinking even more than you. (Statement Non Opinion) ,neutral,anger
"Oh yeah, he looked like a real lumberjack in those pink lacys. (Statement Non Opinion) ",disgust,anger
I'm just saying that only a man completely secure with his masculinity could walk around in women's underwear! (Statement Non Opinion) ,neutral,neutral
I don't think you could ever do that. (Statement Opinion) ,neutral,neutral
Hey! I (Greeting) ,neutral,neutral
"Okay, whatever. (Others) ",disgust,neutral
Lusts of the flesh. (Statement Opinion) ,neutral,disgust
What? (Question) ,neutral,surprise
I don't know. A cowboy theme? (Answer) ,neutral,neutral
"Hey uh, is it okay to come in? (Question) ",neutral,neutral
"Of course! Oh Joey, this ring I...it's beautiful I love it! (Answer) ",joy,joy
"Yeah uh look Rach, there's something I gotta tell ya. (Statement Non Opinion) ",neutral,neutral
Hey! (Greeting) ,joy,neutral
Hey! Are you ready to try nursing again? (Question) ,neutral,neutral
"Yeah! Hi Emma. Hey, why do you think she won't take my breast? (Question) ",neutral,sadness
"It's all right honey, it takes some babies a while to get it, but don't worry. It'll happen. (Answer) ",neutral,neutral
Yowza (Others) ,anger,surprise
"Okay sweetie, you can do it. Just open up and put it in your mouth. (Command) ",neutral,neutral
Dear Lord. (Others) ,surprise,surprise
"I'm sorry honey, what were you saying? (Question) ",neutral,neutral
"Oh uh-uh yeah, I think that... (Answer) ",neutral,neutral
Do you think my nipples are too big for her mouth? (Question) ,neutral,sadness
She looks scared. (Statement Opinion) ,neutral,sadness
Doesn't she look scared? (Question) ,neutral,sadness
"Y'know, I don't really know her. (Answer) ",neutral,neutral
Can you see my nipples through this shirt? (Question) ,neutral,neutral
"No. But don't worry, I'm sure they're still there. (Answer) ",neutral,joy
"Where are you going, Mr. Suity-Man? (Question) ",neutral,surprise
"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo. I added the ""a-gogo."" (Answer) ",neutral,neutral
"Actually, tomorrow night kinda depends on how tonight goes. (Statement Non Opinion) ",neutral,neutral
"Oh, uh, listen, about tonight... (Statement Non Opinion) ",sadness,neutral
"No, no, no, don't you dare bail on me. (Command) ",anger,anger
The only reason she's goin' out with me is because I said I could bring a friend for her friend. (Statement Non Opinion) ,neutral,neutral
"Yes, I know, but her friend sounds like such a... (Statement Non Opinion) ",anger,neutral
Pathetic mess? (Statement Opinion) ,neutral,disgust
"I know, but--come on, man, she's needy, she's vulnerable. (Statement Opinion) ",neutral,sadness
"I'm thinkin', cha-ching! (Others) ",joy,joy
Thanks. (Greeting) ,neutral,joy
"Look, you have not been out with a woman since Janice. (Statement Non Opinion) ",neutral,neutral
You're doin' this. (Statement Non Opinion) ,neutral,neutral
Hi. She said yes. (Statement Non Opinion) ,neutral,joy
"Yes! Way to go, man! Still got the egg, huh? (Apology) ",joy,joy
"""Happy birthday to you!"" (Greeting) ",joy,joy
You're paying for that. (Statement Non Opinion) ,neutral,neutral
What? No-no it's her birthday! (Disagreement) ,surprise,anger
You've sung Happy Birthday to 20 different women today! (Statement Non Opinion) ,surprise,neutral
But it really (Statement Non Opinion) ,neutral,neutral
You are no longer authorized to distribute birthday muffins. (Statement Non Opinion) ,neutral,neutral
Damnit! (Others) ,anger,anger
Rach? Hi! (Greeting) ,joy,joy
Hi! (Greeting) ,joy,joy
Did you tell your sister to ask me out? (Question) ,neutral,surprise
Well yeah (Answer) ,neutral,neutral
Oh wow! (Backchannel) ,surprise,surprise
"I mean, wow! (Backchannel) ",surprise,surprise
"I mean, I-I-I think she's cute but I-I would never have thought of going out with her, never! (Statement Opinion) ",neutral,surprise
Really?! (Question) ,surprise,surprise
"Yeah but after you said it was okay, I figured, ""Why not?!"" (Answer) ",joy,joy
Oh so-so not really never. (Statement Non Opinion) ,neutral,neutral
I have to say you are a much bigger person than I am. (Statement Opinion) ,neutral,joy
"I mean after all we've been through, I just--y'know I wish I had a brother to reciprocate. (Statement Opinion) ",neutral,sadness
"Hey, if you ever want to go out with Monica, you have my blessing. (Statement Non Opinion) ",neutral,neutral
"Oh-ho, and mine! (Statement Non Opinion) ",joy,joy
No-no wait-wait! I can't just let you hang up! Just please talk to me. (Command) ,fear,fear
Well...I only have one thing to do today. I guess I could push it back. (Statement Non Opinion) ,neutral,neutral
"Yeah! Now, why do you want to kill yourself? (Question) ",sadness,fear
"It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist! (Answer) ",sadness,sadness
Chandler? (Question) ,neutral,surprise
I-I'm sorry? (Apology) ,sadness,sadness
"No look, I-I'm sure that people know you exist! (Statement Non Opinion) ",sadness,neutral
Oh yeah? (Backchannel) ,sadness,neutral
I work in a cubicle surrounded by people. (Statement Non Opinion) ,neutral,neutral
I've been talking to you for five minutes now about killing myself and no one's even looked up from their desk. (Statement Non Opinion) ,sadness,sadness
Hang-hang on. (Command) ,neutral,neutral
Hey everybody! (Greeting) ,neutral,neutral
"Uh, I'm gonna kill myself! (Statement Non Opinion) ",sadness,sadness
I got nothing. (Statement Non Opinion) ,neutral,sadness
"Apparently, there's like a million guys out there that can play Mac, and there's only this one robot and this one guy who controls it! (Statement Opinion) ",surprise,surprise
I didn't know he could get me fired! (Statement Non Opinion) ,surprise,fear
What am I going to do? (Question) ,fear,sadness
"Well y'know Joey, you're a pretty charming guy. (Statement Opinion) ",neutral,joy
"Thanks, but I kinda have a problem to deal with here. (Statement Non Opinion) ",fear,neutral
"No sweetie, you've got to win over the guy that controls C.H.E.E.S.E.! You've got to kiss some serious robot ass! (Statement Opinion) ",neutral,anger
That's not a bad idea. (Agreement) ,neutral,joy
"Okay, but if I got to turn on the charm tomorrow I'm not wasting anymore of it over here with you guys. (Statement Opinion) ",neutral,neutral
"Well, actually I got a little bit saved for you Pheebs. (Statement Non Opinion) ",joy,joy
"So do you think uh, Joey's more charming than me? (Question) ",neutral,sadness
Yeah! That's why I'm sleeping with him on the side. (Answer) ,sadness,joy
"Yeah, you wish. (Others) ",neutral,disgust
"""You wish."" (Others) ",joy,disgust
Why are you yelling? (Question) ,joy,anger
"Whoa, that (Others) ",neutral,surprise
"Whoa-whoa, what is it? (Question) ",surprise,surprise
Well... It's a date. (Answer) ,neutral,neutral
A date?! (Question) ,surprise,surprise
"No, no Pheebs you-you must be mistaken, because I know you wouldn't schedule a date on the same night you have plans with a friend! (Statement Opinion) ",surprise,anger
"Come on Joey, don't make me feel badly about this. (Statement Non Opinion) ",sadness,sadness
"No, I'm gonna!! (Statement Non Opinion) ",anger,anger
That's right! (Statement Non Opinion) ,anger,anger
"Yeah, you made me feel really guilty about goin' out with that girl! (Statement Non Opinion) ",anger,anger
Like-like-like I did something terrible to you! (Statement Non Opinion) ,anger,anger
"And now Pheebs, you're doing the same thing! (Statement Non Opinion) ",anger,anger
That--It's not the same thing! This is (Statement Non Opinion) ,anger,anger
"Okay, well my girl from the other night was special. She was a scientist too! (Statement Non Opinion) ",anger,neutral
She was? (Question) ,surprise,surprise
"Well, she graduated from high school! (Answer) ",anger,neutral
"Okay, whatever. (Others) ",joy,neutral
Y'know what? (Question) ,neutral,neutral
"I don't have time to convince you because he's only here for four hours, and I'm gonna go see him! (Answer) ",anger,neutral
Fine! (Agreement) ,anger,anger
Yeah! (Backchannel) ,anger,neutral
Fine! (Statement Non Opinion) ,anger,anger
Yeah! (Backchannel) ,anger,neutral
"What are you still doin' here?! I told you, lobster ravioli! (Question) ",anger,anger
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway. (Statement Non Opinion) ",neutral,neutral
Hi. (Greeting) ,neutral,neutral
"Ross, you remember Susan. (Question) ",neutral,neutral
How could I forget? (Answer) ,surprise,anger
Ross. (Greeting) ,neutral,neutral
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...? (Question) ",anger,neutral
Dr. Oberman. (Answer) ,neutral,neutral
..Dr. Oberman. Okay. And is he- (Question) ,neutral,neutral
She. (Answer) ,neutral,neutral
#NAME? (Statement Non Opinion) ,neutral,surprise
"Yes, and she's very supportive. (Statement Non Opinion) ",neutral,neutral
"Okay, that's great. No, I'm- Oh. (Statement Opinion) ",joy,anger
Thanks. (Greeting) ,neutral,neutral
"Quack, quack.. (Others) ",neutral,neutral
Ross? That opens my cervix. (Statement Non Opinion) ,surprise,neutral
Barry? (Greeting) ,surprise,neutral
C'mon in. (Statement Non Opinion) ,neutral,neutral
Are you sure? (Question) ,surprise,fear
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours. (Answer) ",neutral,neutral
Huh?! (Backchannel) ,surprise,surprise
"So, how ya doin? (Question) ",neutral,neutral
Does she use the cups? Yes! I believe she does. Does she use the plates? Yes! I believe she does. (Statement Non Opinion) ,neutral,neutral
"Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming. Uh, just a second! (Greeting) ",joy,joy
"No-no, let me in! (Statement Non Opinion) ",anger,anger
Phoebe? (Greeting) ,neutral,neutral
Yeah! (Backchannel) ,joy,neutral
Can you just hold on for one minute? (Question) ,neutral,neutral
"No, you have to let me in right now!! (Answer) ",joy,anger
Are you alone? (Question) ,neutral,neutral
Yes! (Answer) ,joy,neutral
All right. (Statement Non Opinion) ,neutral,neutral
Let go! (Command) ,anger,anger
No! You let go! (Disagreement) ,anger,anger
How come it's always us left in the field holding the ball? (Question) ,joy,sadness
I don't know. I guess the other people just don't care enough. (Answer) ,neutral,sadness
Hey! It's starting to snow. (Statement Non Opinion) ,sadness,joy
Gimme the this! (Command) ,anger,anger
Let go! (Command) ,anger,anger
Y'know what? (Question) ,neutral,neutral
Umm? (Backchannel) ,neutral,neutral
I bet 'ya ya I could fit in there. (Statement Opinion) ,neutral,joy
I've got five bucks says you can't. (Statement Non Opinion) ,neutral,anger
"Shoot! Shoot! Shoot! Shoot, or just fall down. That's good too. (Command) ",joy,anger
Knick fan? (Question) ,neutral,neutral
"Oh, yeah. (Answer) ",neutral,joy
