Utterance,Original_Labels,DeepSeek
"Oh no, one of those 'look for the hidden meaning' songs. (neutral)",Statement Non Opinion,Statement Opinion
"Yes, hello. (neutral)",Greeting,Greeting
I have a question. (neutral),Statement Non Opinion,Statement Non Opinion
"Umm, I used your pen to draw on my friend's face. (neutral)",Statement Non Opinion,Statement Non Opinion
A beard and a moustache. (neutral),Statement Non Opinion,Statement Non Opinion
Thank you. (neutral),Greeting,Acknowledge
"No, (neutral)",Disagreement,Disagreement
What?! What else did he say? (surprise),Question,Question
"Umm, he said he thought I was funny. (neutral)",Answer,Statement Non Opinion
"So... Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it. (neutral)",Statement Opinion,Command
"Ross, no! There is (anger)",Disagreement,Disagreement
"Oh, come on! Rach, it's-it's not that bad. (neutral)",Statement Opinion,Statement Opinion
"Ross, I am a human doodle!! (anger)",Statement Non Opinion,Statement Opinion
"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun! (neutral)",Statement Opinion,Statement Opinion
"And besides, hey-hey-hey no one is even gonna (neutral)",Statement Non Opinion,Statement Non Opinion
"Okay, there was (neutral)",Others,Acknowledge
Come on! (joy),Others,Command
"Oh wait, don't you have to pay for your, Busty Ladies? (joy)",Question,Question
"No, it's okay. Some-some kid asked me to pick it up for him, but I don't (neutral)",Answer,Statement Non Opinion
Oh my God!!! What are you doing?!! (surprise),Question,Question
"You said, you wanna come in for some lemonade? (neutral)",Answer,Statement Non Opinion
So?! (disgust),Question,Statement Opinion
"Whoa, ah!! We're you just gonna give me some lemonade? (surprise)",Answer,Question
Yeah huh!! Cover yourself up! (disgust),Command,Command
"Oh right, right. (neutral)",Agreement,Acknowledge
"I don't believe this! When someone asks you in for lemonade, and to you that means they wanna have sex? (disgust)",Question,Statement Opinion
Well usually...yeah! (surprise),Answer,Statement Opinion
"Well, not just lemonade, iced tea, sometimes juice. (neutral)",Statement Non Opinion,Statement Non Opinion
"Well, sorry, I just, I thought you liked me. (neutral)",Statement Opinion,Apology
I'm such a jerk. (sadness),Statement Non Opinion,Statement Opinion
"It's okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it. (neutral)",Statement Opinion,Statement Opinion
Hmmm... this is so nice. (joy),Statement Opinion,Statement Opinion
"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment. (neutral)",Statement Non Opinion,Question
OK. (neutral),Backchannel,Acknowledge
"OK. Here goes. For a while now, I've been wanting to, um.... (neutral)",Statement Non Opinion,Statement Non Opinion
Ohhh!!!! (surprise),Backchannel,Backchannel
"Yes, yes, that's right... (neutral)",Statement Non Opinion,Agreement
"Oh, look at the little cat! (surprise)",Command,Statement Non Opinion
What? Ow! (surprise),Question,Question
"Well, I was probably going to do it at some point. (neutral)",Statement Opinion,Statement Non Opinion
I didn't mean (neutral),Statement Non Opinion,Apology
It's brilliant! (joy),Statement Opinion,Statement Opinion
"Goodbye Mike, we'll see you at the wedding, fella! (joy)",Greeting,Greeting
"well, we probably won't invite you to the wedding... (neutral)",Statement Non Opinion,Statement Non Opinion
"Thank you, Chandler. (neutral)",Greeting,Acknowledge
Sincerely. (neutral),Others,Statement Non Opinion
"Well, you're welcome! Glad I could help. (joy)",Greeting,Agreement
"David, I'm pretending to (neutral)",Others,Statement Non Opinion
"Okay, you have 19 questions left. Use them wisely. Come on Joey! You can't win if you don't ask any (joy)",Statement Opinion,Command
What?! (surprise),Question,Question
"Well, you promised me a fun road trip! (joy)",Answer,Statement Opinion
We've been on the road six hours and you've been asleep for five and a half! (anger),Statement Non Opinion,Statement Non Opinion
We are switching at the next rest stop and (anger),Statement Non Opinion,Statement Non Opinion
All right. All right. (neutral),Agreement,Agreement
Yeah! And until then you are going to sing to me because the radio's broken and you are selfish but have a nice voice. (anger),Statement Opinion,Statement Opinion
Really? I don't (surprise),Question,Question
Sing!! (anger),Command,Command
Morning! (joy),Others,Greeting
Everything was delicious! (joy),Statement Opinion,Statement Opinion
Thank you! (joy),Greeting,Acknowledge
It was. The duck in particular was superb. (joy),Statement Opinion,Statement Opinion
Thank you! You haven't said anything... (joy),Statement Non Opinion,Acknowledge
Actually I do have one small complaint. (neutral),Statement Non Opinion,Statement Non Opinion
Oh..please!I-I welcome criticism. (neutral),Statement Opinion,Acknowledge
The musician right outside the restaurant...it's kind of a mood-killer! (sadness),Statement Opinion,Statement Opinion
What musician? (surprise),Question,Question
We did? (neutral),Question,Question
You owe me 20 bucks. (joy),Statement Non Opinion,Statement Non Opinion
Thank you. Thank you so much! (joy),Greeting,Acknowledge
"Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns. (neutral)",Statement Non Opinion,Statement Non Opinion
"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? (surprise)",Question,Question
"What, what, what is it with you and this holiday? (anger)",Question,Question
"All right, I'm nine years old. (neutral)",Answer,Statement Non Opinion
"Oh, I hate this story. (sadness)",Statement Opinion,Statement Opinion
We just finished this magnificent Thanksgiving dinner. (neutral),Statement Non Opinion,Statement Non Opinion
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced. (sadness)",Statement Non Opinion,Statement Non Opinion
Oh my god. (surprise),Backchannel,Acknowledge
Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse. (sadness),Statement Opinion,Statement Opinion
"Hey, who's this little naked guy? (surprise)",Question,Question
That little naked guy would be me. (neutral),Answer,Answer
"Aww, look at the little thing. (surprise)",Statement Non Opinion,Statement Opinion
Who are those people? (surprise),Question,Question
Got me. (surprise),Others,Answer
"Oh, that's Nana, right there in the middle. 'Me and the gang at Java Joe's'. (neutral)",Answer,Statement Non Opinion
"Wow, Monica, you look just like your grandmother. How old was she there? (surprise)",Question,Question
"Let's see, 1939... yeah, 24, 25? (neutral)",Answer,Answer
Looks like a fun gang. (neutral),Statement Opinion,Statement Opinion
"Ooh, look-look-look-look-look! I got Monica naked! (joy)",Statement Non Opinion,Statement Opinion
"So, what's this about? (joy)",Question,Question
"Rachel has something that she wants to tell you and umm, I believe that this is your red sweater. (neutral)",Answer,Statement Non Opinion
No. This is my red sweater. (neutral),Disagreement,Statement Non Opinion
Oh no. Could I get anyone a coffee or...poison? No? Just for me? Okay. (fear),Question,Apology
What's going on Rach? (joy),Question,Question
"Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare? (fear)",Answer,Statement Opinion
"Y'know, I'm actually glad Phoebe called. (joy)",Statement Opinion,Statement Opinion
"I know we broke up because you thought I wasn't mature enough, but I've really grown up and think we should get back together. (joy)",Statement Opinion,Statement Opinion
"Oh, it's just not the right time. (sadness)",Disagreement,Statement Opinion
It is the right time. (joy),Agreement,Statement Opinion
Okay. (neutral),Backchannel,Acknowledge
Kay! (joy),Others,Greeting
in the category of Favorite Returning Male Character the nominees are: John Wheeler from (neutral),Statement Non Opinion,Statement Non Opinion
What the?! (surprise),Question,Statement Non Opinion
Yeah. (neutral),Answer,Backchannel
"You're an Aquarius, huh? (neutral)",Question,Question
I bet you're a Gemini. (neutral),Question,Statement Opinion
Nope. (neutral),Answer,Disagreement
Taurus? (neutral),Question,Question
Nope. (neutral),Answer,Disagreement
Virgo? (neutral),Question,Question
Nope. (neutral),Answer,Disagreement
Sagittarius? (neutral),Question,Question
Yep. (neutral),Answer,Agreement
"I knew it! I knew it, ahh.... (joy)",Statement Non Opinion,Statement Opinion
You're not gonna speed anymore right? (neutral),Question,Question
I won't speed. (neutral),Answer,Statement Non Opinion
And you promise you'll get this taken care of right away? (neutral),Question,Question
I promise. (neutral),Answer,Statement Non Opinion
And in the meantime you better let him drive. Does he have a license? (neutral),Question,Command
Yeah! (neutral),Answer,Answer
Can he handle the stick? (neutral),Question,Question
Oh well (neutral),Backchannel,Acknowledge
I can handle the stick!! (anger),Answer,Statement Opinion
Hey! (joy),Greeting,Greeting
I can't believe this is taking so long. How are you doing? (sadness),Question,Question
Oh not bad. Do you know that feeling when you're trying to blow a Saint Bernard out your ass? (sadness),Answer,Answer
Weirdest thing. Did I hear----Mother of God it's true! (surprise),Statement Non Opinion,Statement Non Opinion
Chandler Bing! (surprise),Others,Greeting
Janice (surprise),Others,Acknowledge
"Not just Janice, Janice in labor, contracting and everything. (joy)",Statement Non Opinion,Statement Opinion
"Oh, this should be easy. I have a very wide pelvis. You remember Chandler. (neutral)",Statement Opinion,Statement Non Opinion
Janice I didn't even know you were pregnant! Who's the unwitting human who's essence you've stolen? (surprise),Question,Question
It's you. This is yours. (neutral),Answer,Statement Non Opinion
What?! (surprise),Question,Question
Look how nervous he gets! We haven't slept together in years! (joy),Statement Non Opinion,Statement Opinion
That's funny. Does it-does it hurt? Does the labor hurt? (fear),Question,Question
"Man, I'm starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both! (anger)",Statement Non Opinion,Statement Opinion
"Y'know, y'know I'm lookin' and I don't think anyone's home here. (neutral)",Statement Opinion,Statement Non Opinion
"I say we just break the window, crawl through, and-and y'know explain later. (neutral)",Statement Opinion,Command
Yeah? Really? No one's home? (surprise),Question,Question
I don't think so. Hello? When you get in there (neutral),Answer,Statement Non Opinion
"Hey, what's up? (neutral)",Question,Greeting
I just saw Danny getting on the subway with a girl and he had his arm around her. (sadness),Answer,Statement Non Opinion
"Oh, honey, I'm sorry. (sadness)",Apology,Apology
"Well, you should be, this is all your fault! You meddled in our relationship!! (anger)",Statement Opinion,Disagreement
You had no relationship!! (anger),Disagreement,Disagreement
"No, but I was doing my thing and everything was going according to the plan! (anger)",Disagreement,Disagreement
"Oh God, stop with the plan! (anger)",Command,Command
"So what, so what you saw him with a girl? (neutral)",Question,Question
Who cares?! (anger),Statement Opinion,Statement Opinion
That doesn't mean anything! (anger),Statement Non Opinion,Statement Opinion
"Now look, you're going to go out on a date with Danny and you're going to be so charming he's gonna forget all about that stupid subway girl. (neutral)",Statement Opinion,Command
She was kinda stupid. (neutral),Statement Non Opinion,Statement Opinion
You're right. (neutral),Agreement,Agreement
"All right, I'm just gonna go on the date. (neutral)",Statement Non Opinion,Statement Non Opinion
I'm gonna go on the date. (neutral),Statement Non Opinion,Statement Non Opinion
That is the new plan. (neutral),Statement Opinion,Statement Non Opinion
Hi. (neutral),Greeting,Greeting
Phoebe! (surprise),Greeting,Greeting
Ta-da. (joy),Greeting,Statement Non Opinion
Hey. (neutral),Greeting,Greeting
Hi. (neutral),Greeting,Greeting
"Ahh, look at you, you look great. (joy)",Statement Opinion,Statement Opinion
"Do I? Thank you, so do you. (neutral)",Statement Opinion,Answer
Thanks. (neutral),Greeting,Acknowledge
Sparkly. (neutral),Statement Non Opinion,Statement Non Opinion
"So, wow, this is pretty wonerful, huh. (joy)",Statement Opinion,Statement Opinion
Mr. major capades guy. (neutral),Others,Statement Non Opinion
"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice. (neutral)",Statement Opinion,Statement Non Opinion
You always said I'd make it. (joy),Statement Non Opinion,Statement Opinion
"Yeah, well, ya know, I'm kind of spooky that way. Wooo. (neutral)",Statement Opinion,Statement Non Opinion
I missed you. I'm gonna get changed. (neutral),Statement Opinion,Statement Non Opinion
OK. (neutral),Backchannel,Acknowledge
"Um, now. Phoebs. (neutral)",Backchannel,Command
"Oh, right, OK. Ole. (neutral)",Statement Non Opinion,Acknowledge
What? (neutral),Question,Question
"Um, the matador. Ole, ha ha ha. (joy)",Answer,Statement Non Opinion
"Hi Joey it's Jane Rogers, can't wait for your party tonight. (joy)",Statement Opinion,Greeting
"Listen, I forgot your address, can you give me a call? (neutral)",Question,Question
"Thanks, bye. (neutral)",Greeting,Acknowledge
Hey! (joy),Greeting,Greeting
Hey! (joy),Greeting,Greeting
What's happening? (joy),Question,Question
"Yeah, it's a real shame you can't make it to that one-woman show tonight. (sadness)",Statement Opinion,Statement Opinion
"Oh, I'd love to, but I gotta get up so early the next day and so, you know me, work comes first (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh, yeah, yeah, yeah... (neutral)",Agreement,Backchannel
"""Hi Joey, it's Jane Rogers can't wait for your party tonight"" (joy)",Statement Non Opinion,Greeting
Stupid Jane Rogers!! (anger),Statement Opinion,Statement Opinion
You are having a party tonight?? (surprise),Question,Question
Kinda have a... a thing for the Days Of Our Life's people. (neutral),Answer,Statement Non Opinion
And you weren't going to tell us? How did you think you were gonna get away with that? (anger),Question,Question
I do it every year. (neutral),Answer,Statement Non Opinion
You do that every year?? (surprise),Question,Question
I didn't have to tell you that!! I'm stupider than Jane Rogers!! (anger),Statement Opinion,Statement Opinion
"Oh, that's why you got these tickets to that play, to get rid of us?? (anger)",Question,Question
Yeah... (neutral),Answer,Agreement
And last year is that why you sent us to that medieval times restaurant? (anger),Question,Question
Yeah... (neutral),Answer,Agreement
"OH! And the year before that, when you set up that nighttime tour of that button factory? (anger)",Question,Question
Who's this from? (surprise),Question,Question
"Oh, that's Ross's. (neutral)",Answer,Answer
Oh... Oh my God. He remembered. (surprise),Statement Non Opinion,Statement Opinion
Remembered what? (neutral),Question,Question
It was like months ago. (surprise),Answer,Statement Non Opinion
"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl. (sadness)",Answer,Statement Non Opinion
Oh! (surprise),Backchannel,Acknowledge
I can't believe he remembered! (surprise),Statement Non Opinion,Statement Opinion
"Oh, it's so pretty. This must have cost him a fortune. (surprise)",Statement Opinion,Statement Opinion
I can't believe he did this. (surprise),Statement Non Opinion,Statement Opinion
"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck? (neutral)",Statement Non Opinion,Statement Non Opinion
What did you just say? (surprise),Question,Question
F-hah.... flennin.... (fear),Others,Others
Oh.... my God. (surprise),Others,Acknowledge
I really like waking up with you. (joy),Statement Opinion,Statement Opinion
"I like waking up with you too. Oh! It's such a beautiful morning. Oh, I can stay here all day. (joy)",Agreement,Statement Opinion
That would be great! (joy),Statement Opinion,Agreement
We could have breakfast in bed (joy),Statement Opinion,Statement Non Opinion
"Wait, just a second. (neutral)",Statement Non Opinion,Command
Okay. Oh! Oh no. (surprise),Others,Acknowledge
"Well that was depressing, I think I just bought a soft pretzel from one of the kids from (sadness)",Statement Opinion,Statement Opinion
Um-hmm. Oh wait! This is Bonnie. (surprise),Statement Non Opinion,Acknowledge
Hi! (joy),Greeting,Greeting
This is Bonnie? This is Bonnie? You're Bonnie? (surprise),Question,Question
I can show you an ID if you want? (neutral),Answer,Statement Non Opinion
"Oh no, I'm sorry, you look a lot different from the last time I-I saw you. (surprise)",Apology,Apology
"Oh yeah, well I just started wearing bras again. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh, that must be it. (neutral)",Agreement,Acknowledge
Well I hope you have fun tonight. (neutral),Statement Opinion,Statement Non Opinion
Thanks! You too. (joy),Greeting,Acknowledge
I believe it. (neutral),Statement Non Opinion,Statement Opinion
"Yes, I do. (neutral)",Agreement,Agreement
"No you do--y'know what, you're not gonna suck me into this. (anger)",Statement Opinion,Disagreement
"Oh sure I am, because you always have to be right. (anger)",Statement Non Opinion,Disagreement
"I do not always have to be--okay, okay. (anger)",Statement Non Opinion,Disagreement
Jurassic Park (neutral),Others,Statement Non Opinion
"I'm telling you, something's wrong! My brother does not stay out all night. (fear)",Statement Opinion,Statement Opinion
Maybe we should check the trash chute. (neutral),Statement Opinion,Others
Ross couldn't fit down the trash chute. (neutral),Statement Non Opinion,Statement Non Opinion
"That's right, he almost could. Which is exactly how I got stuck there. (neutral)",Agreement,Statement Non Opinion
Hey! (neutral),Greeting,Greeting
There he is! (joy),Statement Non Opinion,Others
Oh my God! Where the hell have you been?!! (anger),Question,Question
"Just, y'know out. (neutral)",Answer,Statement Non Opinion
"Ohh, out, oh God, I don't know why we didn't think to check there! (anger)",Statement Opinion,Statement Opinion
What were you doing? (neutral),Question,Question
"I uh, went to a bar. And then I just uh, just walked around for a while. (neutral)",Answer,Statement Non Opinion
He hooked up! He hooked up with someone. (surprise),Statement Non Opinion,Statement Opinion
"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want! (anger)",Statement Non Opinion,Statement Opinion
He hooked up!! Tell us about her! (joy),Command,Command
Ross you left you scarf in... Hey you guys. (neutral),Greeting,Greeting
"Oh yeah, that looks good. (neutral)",Statement Opinion,Agreement
You guys make a (neutral),Others,Statement Non Opinion
"Yeah, we look great together. (joy)",Agreement,Agreement
Okay. (neutral),Backchannel,Acknowledge
Wow! Imagine what our kids would look like! (joy),Statement Opinion,Statement Opinion
"Y'know, we don't have to imagine. (neutral)",Disagreement,Statement Non Opinion
I'm marrying her. (joy),Statement Non Opinion,Statement Opinion
We'll just see. (neutral),Statement Non Opinion,Statement Non Opinion
Hey! Hey! Be careful around my Porsche! (anger),Command,Command
Hi Joey. (neutral),Greeting,Greeting
Hey! How you doin'? (neutral),Greeting,Greeting
He has the most amazing Porsche under there! (joy),Statement Opinion,Statement Opinion
"I'd love to show ya, but I just tucked her in. (neutral)",Statement Non Opinion,Statement Non Opinion
She's sleeping. (neutral),Statement Non Opinion,Statement Non Opinion
"Hey uh, would you two girls like to go for a drink? (neutral)",Question,Question
"Well, the old lady died. (sadness)",Statement Non Opinion,Statement Non Opinion
And how do I know? (neutral),Question,Question
Her dying wish was for one last kiss. (neutral),Answer,Statement Non Opinion
"But I don't care, because you got the apartment. (joy)",Statement Non Opinion,Statement Opinion
Yes! (joy),Agreement,Agreement
Ewww. Yeah. Umm. I think I'm gonna stay here. (disgust),Statement Opinion,Disagreement
Isn't that great? (joy),Question,Question
Ezels!! (disgust),Others,Statement Opinion
"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it's not your fault. (neutral)",Others,Statement Non Opinion
"Wow, that's great. (joy)",Statement Opinion,Acknowledge
"Oh, yeah! (joy)",Agreement,Agreement
"Y'know you could totally sell this. It'd be perfect for like umm, a kitty litter campaign. (neutral)",Statement Opinion,Statement Opinion
"I..., a jingle? No, no-no-no, no. (neutral)",Disagreement,Disagreement
What? Why not? You could make a ton of money. (surprise),Question,Question
"Okay, well if I was in this for the money, I'd be a millionaire by now, y'know. (neutral)",Answer,Statement Non Opinion
You just got to get out of that jingle head sweetie. (neutral),Statement Non Opinion,Command
"Aw, you're right, you're right. I'm sorry. (neutral)",Agreement,Apology
"That's okay. All right, I'm gonna play song that's really, really sad. It's called Magician Box Mix Up. (joy)",Statement Non Opinion,Statement Non Opinion
"Okay sir, um-mm, let see if I got this right. (neutral)",Statement Non Opinion,Backchannel
"Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, with whip, extra hot latte, right? (neutral)",Question,Question
"Okay, great. (joy)",Agreement,Acknowledge
You freak. (disgust),Statement Opinion,Statement Non Opinion
Thank you. (joy),Greeting,Acknowledge
"Um, coffee to go, please. (neutral)",Statement Non Opinion,Command
Isabella Rosselini. (neutral),Others,Statement Non Opinion
Are you serious? Oh my God. (surprise),Question,Question
Damn! I can't believe I took her off my list. (anger),Statement Opinion,Statement Opinion
Why? 'Cause otherwise you'd go for it? (neutral),Question,Question
"Yeah, maybe. (neutral)",Answer,Agreement
"Oh-oh, you lie. (disgust)",Statement Non Opinion,Statement Opinion
What you don't think I'd go up to her? (neutral),Question,Question
"Ross, it took you ten years to finally admit you liked me. (neutral)",Statement Non Opinion,Statement Non Opinion
"Yeah, well missy, you better be glad that list is laminated. (anger)",Statement Opinion,Statement Opinion
"You know what honey, you go ahead, we'll call her an alternate. (neutral)",Statement Opinion,Statement Opinion
"Okay, hold my crawler. (neutral)",Statement Non Opinion,Command
Okay. (neutral),Agreement,Acknowledge
"Rach, are you really gonna let him do this? (surprise)",Question,Question
"Honey, he's about to go hit on Isabella Rosselini. I'm just sorry we don't got popcorn. (joy)",Answer,Statement Opinion
"Okay, that's, that's enough. (neutral)",Disagreement,Command
Won't you dance around with me. (neutral),Question,Question
A-ha!!! (surprise),Answer,Backchannel
"Oh-oh-oh, yeah! That's right, you take good care of those babies! (joy)",Statement Opinion,Statement Opinion
Excuse me? (surprise),Question,Question
"It's me, Joey! (joy)",Answer,Statement Non Opinion
Do I know you? (surprise),Question,Question
Joey! (joy),Answer,Statement Non Opinion
"Oh-ho, yeah. Yeah, the hand guy. (neutral)",Acknowledge,Acknowledge
Okay that's fair. (neutral),Agreement,Agreement
All right. (neutral),Others,Acknowledge
Good! (neutral),Apology,Acknowledge
Pick one. (neutral),Command,Command
Left! Thank you. (joy),Greeting,Statement Non Opinion
You're welcome. (neutral),Statement Non Opinion,Acknowledge
Ross! (surprise),Others,Statement Non Opinion
Joey! We should just switch. (neutral),Statement Opinion,Statement Opinion
Yeah absolutely! (joy),Agreement,Agreement
"Rachel, we're sorry for pushing those guys on you. (sadness)",Apology,Apology
Oh that's all right! (joy),Statement Non Opinion,Acknowledge
"Y'know, I ended up having a really good time. (joy)",Statement Non Opinion,Statement Opinion
"Y'know, the charity was a big success and they raised a lot of money and awareness. (joy)",Statement Non Opinion,Statement Opinion
So what was it for anyway? (neutral),Question,Question
I wanna say a disease. (neutral),Answer,Statement Non Opinion
Hey! (surprise),Greeting,Greeting
Hey! (surprise),Greeting,Greeting
I just got this really weird message from Ross. He said turn on (neutral),Statement Non Opinion,Statement Non Opinion
"Oh my God, look! That's Elizabeth! (surprise)",Statement Non Opinion,Statement Non Opinion
Oh-oh Professor Geller. (neutral),Statement Non Opinion,Statement Non Opinion
"Ahh, to be 13 again. (neutral)",Statement Opinion,Statement Opinion
"Hey! So uh, was he excited about the tickets? (neutral)",Question,Greeting
No! He blew us off! (anger),Answer,Answer
What?! (surprise),Question,Question
I know! (surprise),Agreement,Acknowledge
I can't believe it. Can I tell you something? I'm a little mad at him now. (anger),Statement Opinion,Statement Opinion
Can I tell you something? Me too. (anger),Agreement,Statement Opinion
"Y'know what? He didn't want to talk to us about being angry, well maybe we don't talk to him (anger)",Statement Opinion,Statement Opinion
Ooooh! Freeze him out. (joy),Command,Statement Opinion
That's right! (joy),Agreement,Agreement
I like it! (joy),Statement Opinion,Statement Opinion
Doorknob? (neutral),Question,Question
"Yeah, it kinda grows on you. Actually, I wanted to finish talking to you about uh, spring vacation. (neutral)",Answer,Statement Non Opinion
Oh good. (joy),Agreement,Acknowledge
"Look, I... Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us. (fear)",Statement Opinion,Statement Opinion
"So, I'm sorry I just don't think we should go away together yet. (sadness)",Apology,Apology
It's-it's too soon. (fear),Statement Opinion,Statement Opinion
"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I'm going to Florida for a couple weeks. (surprise)",Statement Opinion,Statement Non Opinion
No. I think you misunderstood what (surprise),Statement Opinion,Disagreement
You are so adorable. (joy),Statement Opinion,Statement Opinion
That! Let's talk about that. (joy),Statement Non Opinion,Command
Hey! (joy),Greeting,Greeting
How do you feel? (neutral),Question,Question
"Well, let's just say that Krog will be fully equipped to destroy the universe again in twelve to fourteen hours. (neutral)",Answer,Statement Non Opinion
"Okay, so I (neutral)",Others,Backchannel
And protected them from a tornado? (neutral),Question,Question
Oh my God. (surprise),Others,Acknowledge
"I know, the babies are asleep. (neutral)",Statement Non Opinion,Statement Non Opinion
"Phoebe, what, what happened here?! (surprise)",Question,Question
I did it! I took care of the babies all by myself! (joy),Answer,Statement Opinion
But my apartment! (surprise),Others,Statement Non Opinion
Is not as important as the fact that Phoebe took care of the babies all by herself. (neutral),Statement Non Opinion,Statement Opinion
"You're right, you're right I shouldn't freak out. (neutral)",Agreement,Agreement
Cause this is what will happen when you and I have babies! (neutral),Statement Non Opinion,Statement Non Opinion
When will that be? (neutral),Question,Question
"Phoebe, would you take a look at this mess!!!! (anger)",Question,Command
Hey Ross! The baby's kicking! (joy),Statement Non Opinion,Greeting
What?! It is?! (surprise),Question,Question
It's not kicking right now. Although we would love to see you do that again. (joy),Answer,Statement Non Opinion
"Hey, when-when was it kicking? What happened? (joy)",Question,Question
Last night! I just felt it and I went into Joey's room and he was sleeping (joy),Answer,Statement Non Opinion
A dreamless sleep. (neutral),Statement Non Opinion,Statement Non Opinion
"So c'mon, you guys, tell me all the dirt! (joy)",Statement Non Opinion,Command
"Well, the biggest news is still you dumping Barry at the altar! (neutral)",Statement Non Opinion,Statement Non Opinion
Alright. Let's talk reality for a second. (neutral),Statement Non Opinion,Statement Non Opinion
Okay. (neutral),Statement Non Opinion,Acknowledge
When are you coming home? (neutral),Question,Question
"What? Guys, I'm not. (surprise)",Answer,Disagreement
"C'mon, this is us. (neutral)",Statement Non Opinion,Statement Non Opinion
I'm not! This is what I'm doing now. I've got this job- (neutral),Statement Non Opinion,Statement Non Opinion
Waitressing? (surprise),Question,Question
"Okay, I'm not just waitressing. (neutral)",Answer,Statement Non Opinion
I'm.. (neutral),Backchannel,Backchannel
"I, um... (neutral)",Backchannel,Backchannel
"I write the specials on the specials board, and, uh... and I, uh... (neutral)",Statement Non Opinion,Statement Non Opinion
"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies. (sadness)",Statement Non Opinion,Statement Non Opinion
"We get off around midnight, why don't we pick you up then? (neutral)",Question,Statement Non Opinion
"So, um, will you bring the truck? (neutral)",Question,Question
I'll even let you ring the bell. (neutral),Answer,Statement Non Opinion
"Oh, my god. (surprise)",Others,Acknowledge
"See, there you go, the cleansing works! (joy)",Statement Non Opinion,Statement Opinion
They're nice guys. (neutral),Statement Opinion,Statement Opinion
"Oh, they're firemen guys. (joy)",Statement Non Opinion,Acknowledge
Your son. (neutral),Question,Statement Non Opinion
"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie. (anger)",Answer,Disagreement
"Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie. (neutral)",Statement Non Opinion,Statement Non Opinion
"What? Whoa, whoa whoa whoa, what do you mean, (surprise)",Question,Question
"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp. (anger)",Statement Non Opinion,Statement Non Opinion
I got it. (neutral),Statement Non Opinion,Acknowledge
I got it. (neutral),Statement Non Opinion,Acknowledge
"I got it! Hey, you get to sleep with her, I get the cramps. (anger)",Statement Opinion,Statement Opinion
"No, you don't. (neutral)",Disagreement,Disagreement
"All right, that's it. I want both of you out. (anger)",Statement Opinion,Command
Why? (surprise),Question,Question
He started it! (anger),Statement Non Opinion,Statement Opinion
"No, you started it. (anger)",Disagreement,Disagreement
"I don't care. I am trying to get a person out of my body here, and you're not making it any easier. (anger)",Statement Non Opinion,Statement Opinion
Now go! (anger),Statement Non Opinion,Command
Thanks a lot. (anger),Greeting,Statement Opinion
See what you did. (anger),Statement Non Opinion,Statement Opinion
"Yeah, listen... (neutral)",Command,Backchannel
Out (anger),Command,Command
"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir? Why? What did I say? (joy)",Question,Statement Opinion
"Well, you just asked if I wanted to go to bed with you tonight. (neutral)",Answer,Answer
Oh my God! No wonder I get such great service at Cafe Maurice. (surprise),Statement Non Opinion,Statement Opinion
"Knock, knock, knock, knock, hi. (neutral)",Greeting,Greeting
"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times. (neutral)",Statement Non Opinion,Command
You didn't say Boutros Boutros Gali. (neutral),Statement Non Opinion,Statement Non Opinion
Boutros Boutros Gali. (neutral),Others,Statement Non Opinion
He says he was too. (neutral),Statement Non Opinion,Answer
Interesting. (neutral),Statement Opinion,Acknowledge
So I was wondering.... (neutral),Others,Statement Non Opinion
"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit. (joy)",Statement Non Opinion,Command
