Utterance,Emotion,"No,DS_r1_emotion"
"Come on man, really how old?! (surprise)",surprise,anger
"Young! You're a man-child okay?! Now go get changed because everybody's ready and please, oh please, keep my underwear! (disgust)",disgust,anger
And they knew about it? (surprise),surprise,anger
"Okay, well Ross, what is this really about? (surprise)",surprise,neutral
"Look, this is my home and I want to be able to come and go whenever I want! (anger)",anger,anger
"Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is! (anger)",anger,neutral
"The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle--beer! Cold beer. (disgust)",disgust,disgust
"Okay, look, he's not gonna hurt them, right? (neutral)",neutral,fear
Do you always have to bring him here? (anger),anger,anger
I didn't wanna leave him alone. (neutral),neutral,neutral
Alright? (neutral),neutral,neutral
We- we had our first fight this morning. (neutral),neutral,sadness
I think it has to do with my working late. (neutral),neutral,neutral
"I said some things that I didn't mean, and he- he threw some faeces... (neutral)",neutral,disgust
"Y'know, if you're gonna work late, I could look in on him for you. (neutral)",neutral,neutral
"Oh, that'd be great! (joy)",joy,joy
"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me. (neutral)",neutral,fear
"Okay, but if he asks, I'm not going to lie. (neutral)",neutral,neutral
Check this out. (neutral),neutral,neutral
It says here that there's a place you can go to rent videos of all the museums! (surprise),surprise,joy
"""It's almost as good as being there."" (neutral)",neutral,joy
It's better! You can't go to a museum in your underwear! (joy),joy,joy
Oh-ho! I bet the British version is gooooood! (joy),joy,joy
"Uh, may I help you? (neutral)",neutral,neutral
"Yeah, I talked to you on the phone, I'm the lady that got stuck with the racecar bed. (neutral)",neutral,neutral
"Look, it's like I told you, there's nothing I can do. You signed for it, Monica Velula Geller. (neutral)",neutral,anger
"All right, Jester man, look we wanna see the king. (neutral)",neutral,neutral
Nobody sees the king! (anger),anger,anger
"Oh-ho-kay, I'm talking to the king. (neutral)",neutral,surprised
Hey! You can't go back there! (surprise),surprise,anger
Oh my God. (surprise),surprise,surprised
"So, this must be kinda neat for ya, huh? (neutral)",neutral,neutral
"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore. (neutral)",neutral,neutral
"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a (sadness)",sadness,sadness
"Wow, you ah, you really like all this space stuff, huh? (surprise)",surprise,surprised
Yeah. (neutral),neutral,neutral
"My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he'd be able to afford a trip to the Taj Mahal. (neutral)",neutral,sadness
I think you would have to clean a whole lot of apartments to go all the way to India. (neutral),neutral,neutral
"No. The one in Atlantic City, Dad loves the slots. He says he's gonna double the college money my Grandma left me. (sadness)",sadness,neutral
"Oh, um, I don't know if that's a good idea. (joy)",joy,fear
"Oh. Look, just friends, I won't grope you. I promise. (neutral)",neutral,neutral
"No, I just I think that it's too soon. (joy)",joy,sadness
"No it's not too soon, I had lunch at a eleven. (neutral)",neutral,joy
I invented the game of Cups as a way to give Joey money. (neutral),neutral,neutral
And now you want that money back. (surprise),surprise,neutral
Exactly. (neutral),neutral,neutral
"Chandler, what kind of an idiot do you take me for? (joy)",joy,anger
It's not a real game! I made it up! (anger),anger,anger
"I'm sorry you lost your money, but I won it fair and square. (joy)",joy,anger
I don't know. (neutral),neutral,neutral
But I can see through your sheet. (neutral),neutral,neutral
"Yeah, yeah, that's her. (neutral)",neutral,neutral
But y'know what? (neutral),neutral,neutral
"Doesn't matter, I'm never gonna get to meet her anyway. (sadness)",sadness,sadness
Why? (neutral),neutral,neutral
"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something. (sadness)",sadness,anger
"What are you talking about? She obviously lives on the second floor, seventh apartment from the left! (surprise)",surprise,neutral
No. No. No. She lives on the (neutral),neutral,anger
"No, those first two windows, that's the lobby. (neutral)",neutral,neutral
"And y'know the other one over there, that's the stairway. (neutral)",neutral,neutral
You've been counting wrong. (neutral),neutral,neutral
I did (anger),anger,surprised
"Monica, betting the apartment, I don't know about this. (fear)",fear,fear
"Rachel, I have not missed one question the whole game. I own this game! Look at my hand. (joy)",joy,joy
Why? Do you have the answers written on there? (surprise),surprise,disgust
"No! Steady as a rock! Now, are you with me. (neutral)",neutral,joy
"All right, let's do it. (fear)",fear,neutral
"All right, gentlemen, you're up first. (neutral)",neutral,neutral
Okay. (neutral),neutral,neutral
Okay. (neutral),neutral,neutral
You have 30 seconds. And the lightning round begins--stop it --now. What was Monica's nickname when she was a field hockey goalie? (neutral),neutral,neutral
Big fat goalie. (neutral),neutral,neutral
Correct. Rachel claims (neutral),neutral,neutral
Dangerous Liaisons (neutral),neutral,neutral
Correct. Her actual favorite movie is... (neutral),neutral,neutral
Weekend at Bernie's (neutral),neutral,neutral
"Well, look, why don't you just, why don't you do your Phase Two strip club thing with us. (neutral)",neutral,neutral
"Yeah, come on, we can be guys! (joy)",joy,joy
No you can't. (joy),joy,neutral
"You don't want to be guys, you'd be all hairy and wouldn't live as long. (disgust)",disgust,neutral
"Y'know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!! (anger)",anger,anger
Okay. (neutral),neutral,neutral
I'm sorry. (sadness),sadness,sadness
"And y'know what, I just realised, in the last year I've only gone out with two guys, Richard and Julio. (surprise)",surprise,sadness
"You gotta help me out here, you gotta set me up, you gotta get me back in the game. (fear)",fear,neutral
"Well, that shouldn't be a problem. I mean I work in fashion and all I meet are eligible straight men. (neutral)",neutral,joy
"Pete, can I get you something else? (neutral)",neutral,neutral
"Yeah, a slice of cheesecake and-and a date if you're given' 'em out. (neutral)",neutral,joy
Haven't you and I covered that topic? (neutral),neutral,neutral
"Hmm, come on, you just said to her that you.... (neutral)",neutral,neutral
"Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food. (joy)",joy,disgust
"Well, if that were true, I'd dating my Aunt Ruth. (joy)",joy,joy
And the two times we went out were just plain awkward. (disgust),disgust,neutral
"Come on, you think she should go out with me, don't you? (neutral)",neutral,neutral
"Well, I mean, are you sure you want to go out with her? (neutral)",neutral,neutral
"I mean that ain't a pretty picture in the morning, y'know what I mean. (disgust)",disgust,joy
"That wig all in disarray, and boobs flung over the night stand, y'know. (disgust)",disgust,joy
"I mean really, think about it. (neutral)",neutral,neutral
"Ho-ho, I will. (neutral)",neutral,joy
I believe I read that somewhere! (surprise),surprise,neutral
"That only is not funny, it's physically impossible! (anger)",anger,anger
Okay? (anger),anger,neutral
Depending on the species I'd have to have a six foot long... (anger),anger,neutral
It's not funny! (anger),anger,anger
I respectfully disagree. (neutral),neutral,neutral
I can't believe you put that on my alumni page! (anger),anger,anger
Who cares? Nobody reads those things (neutral),neutral,neutral
You'd better hope not because I just read what you put on your page today. (anger),anger,anger
I don't have a page. (neutral),neutral,neutral
Oh oh oh! I RESPECTFULLY DISAGREE!! (anger),anger,anger
I know I miss you too. I can't wait to see you. I love you. Bye. (joy),joy,joy
"Okay, what is in here? Rocks? (surprise)",surprise,neutral
"No-no, this is my collection of fossil samples. (neutral)",neutral,neutral
"So, rocks. (disgust)",disgust,neutral
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there. (sadness)",sadness,sadness
"Ohh. Hey, remember when I ran into this thing and it kinda knocked me out a little? (joy)",joy,neutral
"I loved this place! To tell you the truth, I wish I didn't have to move. (joy)",joy,sadness
"Uhh, are you saying that you're not entirely happy about this? (surprise)",surprise,surprised
"Well, I mean if uh, if Emily gave me a choice (sadness)",sadness,sadness
You (neutral),neutral,neutral
Why? (neutral),neutral,neutral
"Hey, you guys! Look what I found in the giiiiiiift shop. Get up! Get up! Get up! (joy)",joy,joy
"I left a bra drying on the shower rod, you don't think your son will think it's yours and be horribly traumatised? (joy)",joy,fear
"Hey, if mommy can have a wife, daddy can have a bra. (neutral)",neutral,joy
"Ohh, it's time to go. (neutral)",neutral,neutral
"Oh, no-no-no, see, that-that clock's a little fast, uh, we have 17 minutes. (neutral)",neutral,neutral
"Huh, what can we do in 17 minutes? (neutral)",neutral,joy
Twice? (neutral),neutral,joy
Well that's ambitious. (neutral),neutral,joy
"Hey, uh, you can ignore that. (neutral)",neutral,neutral
That's Carol with your son! (surprise),surprise,surprised
"Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here! (joy)",joy,joy
HEY!! Do you (anger),anger,anger
Oh come on! Morning's here! Morning's here! The morning is here! Sunshine is here! (joy),joy,joy
I (neutral),neutral,anger
Are you kidding? I love that guy! Morning's here! Morning is here-- (joy),joy,joy
Stop it! I will kill you. I hate the fact that my room is so small. (anger),anger,anger
"Hey, I have all the space I need. Just do what I did. (neutral)",neutral,neutral
"Monica, you don't even have a bed, you sleep in a ball on the floor! (anger)",anger,anger
Y'know what? I am (neutral),neutral,anger
I'm sorry. I'm so sorry. (sadness),sadness,sadness
Okay. (neutral),neutral,neutral
"See, this is a (neutral)",neutral,neutral
Shut up! This place is a hole! (anger),anger,anger
"All right buddy, time to roll over. (neutral)",neutral,neutral
No-no! (fear),fear,anger
"No, no-n-n-n-no!! (fear)",fear,anger
You are going to a clinic! (disgust),disgust,anger
"You're going to a clinic, and a pyjama store! (disgust)",disgust,anger
Are you under the sheet? (neutral),neutral,neutral
Yes. (neutral),neutral,neutral
"Great, let's begin. How's the pressure? (joy)",joy,joy
Nice! Wow Phoebe you are good! (joy),joy,joy
"Stating the obvious, but thank you. And it's not weird is it. (joy)",joy,neutral
No. Ooohh (joy),joy,joy
"That's right, you just enjoy. (neutral)",neutral,joy
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah! (joy),joy,joy
Okay. (neutral),neutral,neutral
Oh God Phoebe!! Oh that's it! That's it! Right there! Oh! Ooooh-oooh-ooooh (joy),joy,joy
Become a drama critic! (joy),joy,anger
I am hurt! A plague on both your houses! (sadness),sadness,anger
"By the way, he dumped me tonight after he read my review. (sadness)",sadness,sadness
"Oh, classy. (disgust)",disgust,disgust
"Yep! I sure know how to pick 'em, huh? Y'know I gave up a part on a soap for this! (sadness)",sadness,disgust
"Wow! Yeah I ah, I gave up a job too. (anger)",anger,surprised
Really. What? (surprise),surprise,neutral
"Uh, de-clawing cats. (anger)",anger,neutral
"Hey, tell ya what. (neutral)",neutral,neutral
Let me walk you home. (neutral),neutral,neutral
We'll stop by every news stand and burn every copy of their Times and the Post. (anger),anger,anger
Why the Post? (surprise),surprise,neutral
"Oh, you didn't see the Post? (surprise)",surprise,surprised
No. You? (neutral),neutral,neutral
No. Why? (neutral),neutral,neutral
Hi Joey! What are you doing here? (joy),joy,joy
"Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt. You got an extra one? (neutral)",neutral,neutral
"Yeah, sure. Umm...here. (neutral)",neutral,neutral
Great. You got anything that's not (disgust),disgust,disgust
"Yeah, I don't think so Joe. (neutral)",neutral,neutral
"All right, I guess this will be fine. (neutral)",neutral,neutral
"Hey, listen umm, what-what are you doing tonight? (neutral)",neutral,neutral
"Nothing, why? (neutral)",neutral,neutral
How would you feel about taking out my assistant Tag? I'll pay. (neutral),neutral,neutral
"Huh, Rach I got to say it's gonna take a lot of money for me to go out on a date with a dude. (disgust)",disgust,surprised
I'm not asking you to go on a (neutral),neutral,neutral
Really? 'Cause I could kinda use the money. (surprise),surprise,surprised
"Joey, just-just he-he's new in town and I know he doesn't have any guy friends. (neutral)",neutral,neutral
Just take him to like a ball game or something. (neutral),neutral,neutral
I'll really appreciate it. (neutral),neutral,joy
"Yeah, okay. (neutral)",neutral,neutral
Yeah? (surprise),surprise,neutral
"Sure, no problem. Ooh--Hey, donuts! (joy)",joy,joy
"Problem odour in the litter box? Don't change your kitty, change your kitty litter. (neutral)",neutral,joy
"Sorry, Pheebs. (sadness)",sadness,sadness
Yeah. You okay? (neutral),neutral,fear
"No! Sorry, I just thought you were somebody else. Hi! (surprise)",surprise,surprised
"Hi. Well, look, I was just gonna leave a message, isn't tonight your, your big anniversary dinner? (neutral)",neutral,neutral
"Yeah. Well, umm..... (sadness)",sadness,sadness
"Rach, are you okay? (surprise)",surprise,neutral
"Yeah, I'm fine. (sadness)",sadness,neutral
"You wanna talk, I mean I can come over? (neutral)",neutral,neutral
"No! Really, no, please, please, that's, that's okay. (sadness)",sadness,fear
"All right, all right, I'm coming over, and I'm bringing Chinese food. (neutral)",neutral,neutral
"Oh, yeah, I'm not, I'm not hungry. (sadness)",sadness,sadness
It's for me. (neutral),neutral,neutral
"Oh. Okay, bye. (neutral)",neutral,surprised
"Come on, pick up, pick up! (fear)",fear,anger
Hello? (neutral),neutral,neutral
Transit Authority? (neutral),neutral,neutral
"Yes, hello. (neutral)",neutral,neutral
"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. (neutral)",neutral,neutral
"Hi, here's the deal. (neutral)",neutral,neutral
We lost a carseat on a bus today. (neutral),neutral,neutral
"It's white plastic, with a handle, and it fits onto a stroller. (neutral)",neutral,neutral
"Oh, and there was a baby in it. (neutral)",neutral,surprised
He wants to talk to you again. (neutral),neutral,neutral
Hello. (neutral),neutral,neutral
I'm sorry I'm a little late. (neutral),neutral,neutral
Whoa (surprise),surprise,surprised
"Let me start by uh, by introducing myself, I am Professor Geller. (neutral)",neutral,fear
"So to sum up, I'm Professor Geller. (neutral)",neutral,fear
"Good evening, sir. (neutral)",neutral,neutral
My name is Ross Geller. (neutral),neutral,neutral
I'm one of the people who applied for the apartment. (neutral),neutral,neutral
And I-I realize that the competition is fierce but--I'm sorry. (neutral),neutral,fear
"I, I can't help but notice you're naked and I applaud you. (joy)",joy,surprised
"Man, I wish I was naked. (neutral)",neutral,joy
"I mean, this-this looks so great. (joy)",joy,joy
That is how God intended it. (neutral),neutral,joy
"Okay, I have to tell you something that I have never admitted during our entire friendship! (anger)",anger,neutral
"But, when we were in high school I made out with James Farrell even when I knew that you liked him! (anger)",anger,fear
"Wow, that feels so good to get off my chest! (joy)",joy,joy
"Okay, you go! (anger)",anger,joy
My turn? What-what are you talking about? (surprise),surprise,surprised
"Ugh, Monica, I know about you and Chandler. (disgust)",disgust,disgust
What?! (surprise),surprise,surprised
"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours."" (neutral)",neutral,neutral
"And he said, ""Laundry? (neutral)",neutral,neutral
Is (neutral),neutral,neutral
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out. (joy),joy,anger
"Well, I wouldn't know because I got so freaked out that I hung up the phone. (anger)",anger,fear
"Well, if you had kept listening, you-you would have heard me call him Mr. Big......ot. (neutral)",neutral,fear
What?! (surprise),surprise,surprised
Mr. Bigot. He tells the most (neutral),neutral,neutral
All right. So you're telling me that there is nothing going on between you and Chandler. (anger),anger,neutral
Me and Chandler?! (surprise),surprise,surprised
"I really thought you making a good point. I mean y'know, until you got cut off. (neutral)",neutral,neutral
"Yeah, what's up with that girl Monica? (neutral)",neutral,disgust
I don't know! I didn't come with her! (anger),anger,anger
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week! (joy),joy,joy
A test?!! (surprise),surprise,surprised
Come on! Tests make us all better learners! Oh yeah! We should have essay questions!! (joy),joy,joy
"Okay I've got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla? (neutral)",neutral,neutral
"I'd have to say...the talking gorilla, because at least I can explain to him that you're making me eat him. (neutral)",neutral,joy
Somebody went to college. Wow. What is it? I'm sorry. (surprise),surprise,surprised
"Okay, I hear you loud and clear. Bob will stay put. (neutral)",neutral,neutral
I think it's best sir. (neutral),neutral,neutral
But we really do need to find someone up here. (neutral),neutral,neutral
The work is starting to pile up. (neutral),neutral,neutral
I've got a stack of documents on my desk this high. (neutral),neutral,neutral
"Y'know what you should do, just toss 'em in the shedder and claim you never got 'em. (neutral)",neutral,joy
That's a good one. (neutral),neutral,joy
What does a guy have to (neutral),neutral,joy
"Yeah, yeah, everybody's here. Hey, everybody, say hi to Julie in New Mexico. (neutral)",neutral,joy
"Hi, Julie! (joy)",joy,joy
Isn't there a national football league. (neutral),neutral,neutral
"Yes. Yes, there is, they play on Sundays and Monday nights. (neutral)",neutral,neutral
Oh shoot! I work Monday nights. (sadness),sadness,sadness
"Umm, this stuffing is amazing. Do you think we should bring them some? (joy)",joy,joy
"When they're hungry enough, they'll come in. (neutral)",neutral,neutral
"Hey Joey, you wanted to talk to me? (neutral)",neutral,neutral
"I don't know. You uh, you got something for me? (neutral)",neutral,neutral
"Oh, yeah, this is from Rachel. (neutral)",neutral,neutral
Ten. Okay. Now Tag there's such a thing as too many women. (neutral),neutral,neutral
Really? (surprise),surprise,surprised
"Yeah, for you! (joy)",joy,disgust
"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance. Bye-bye. Oh God! (surprise)",surprise,surprised
That's (neutral),neutral,neutral
"Hey, I've been honing! (anger)",anger,neutral
What was with the dishes? (neutral),neutral,neutral
"Oh, uh.. (fear)",fear,neutral
I want her to think I might be in a restaurant.. y'know? (fear),fear,neutral
"I might have some kind of life, like I haven't been sitting around here honing for the past few hours. (anger)",anger,neutral
"Look look! He's doing it again, the guy with the telescope! (surprise)",surprise,surprised
Oh my God! Go away! Stop looking in here! (anger),anger,anger
"Great, now he's waving back. (disgust)",disgust,disgust
"Man, we gotta do something about that guy. (disgust)",disgust,anger
"This morning, I caught him looking into our apartment. (disgust)",disgust,neutral
It creeps me out! (anger),anger,fear
I feel like I can't do stuff! (anger),anger,fear
What kinda stuff? (joy),joy,neutral
"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked. (disgust)",disgust,anger
You cook naked? (surprise),surprise,surprised
"Yeah, toast, oatmeal... nothing that spatters. (neutral)",neutral,neutral
What are you looking at me for? I didn't know that. (surprise),surprise,neutral
Y'know they say a watched pot never beeps. (neutral),neutral,neutral
"It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know. (sadness)",sadness,sadness
Phoebe why don't you just call her? You obviously want to. (neutral),neutral,neutral
You think you know me so well. (anger),anger,anger
"Well, don't 'cha wanna? (neutral)",neutral,neutral
Yeah. (neutral),neutral,neutral
"Okay, well I do know you. (neutral)",neutral,neutral
That's what I said. (neutral),neutral,neutral
Well so? (neutral),neutral,neutral
I can't. (sadness),sadness,sadness
I can't. (sadness),sadness,sadness
"She dumped me, I mean I totally trusted her and then one day it was 'Okay, bye Pheebs' gone. (sadness)",sadness,sadness
"Y'know what the saddest part is, when we were playing together, that was like the most fun I've ever had in like all my lives. (sadness)",sadness,sadness
"Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel. (neutral)",neutral,neutral
"Oh. Well, hold on camper, are you sure you've thought this thing through? (neutral)",neutral,surprised
It's laundry. The thinking through is minimal. (neutral),neutral,neutral
"It's just you and Rachel, just the two of you? This is a date. You're going on a date. (joy)",joy,surprised
Nuh-uh. (fear),fear,neutral
Yuh-huh. (joy),joy,neutral
"So what're you saying here? I should shave again, pick up some wine, what? (surprise)",surprise,neutral
"Well, you may wanna rethink the dirty underwear. (disgust)",disgust,disgust
This is basically the first time she's gonna see your underwear--you want it to be dirty? (surprise),surprise,disgust
No. (neutral),neutral,neutral
"Oh, and uh, the fabric softener? (neutral)",neutral,neutral
"Ok, ok, now what is wrong with my (anger)",anger,surprised
"Ok, so it's just because it was my table, I have to buy a new one? (anger)",anger,anger
That's the rule. (neutral),neutral,neutral
"What rule? There's no rule, if anything, you owe me a table! (anger)",anger,anger
How'd you get to that? (anger),anger,neutral
"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio (anger)",anger,disgust
You knew about that? (surprise),surprise,surprised
"Well, let's just say the impressions you made in the butter left little to the imagination. (disgust)",disgust,disgust
"Ok, ok, How about if we split it? (neutral)",neutral,neutral
"What do you mean, like, buy it together? (neutral)",neutral,neutral
Yeah (neutral),neutral,neutral
You think we're ready for something like that? (neutral),neutral,fear
Why not? (neutral),neutral,neutral
"Well, it's a pretty big commitment, I mean, what if one of us wants to move out? (neutral)",neutral,fear
"Why, are you moving out? (surprise)",surprise,surprised
I'm not moving out. (neutral),neutral,neutral
You'd tell me if you were moving out right (fear),fear,neutral
"Yeah, yeah, it's just that with my last roommate Kip... (neutral)",neutral,sadness
"Aw, I know all about Kip! (anger)",anger,neutral
"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly. (anger)",anger,sadness
"Well, let me ask you something, was Kip a better roommate than me? (sadness)",sadness,fear
"Aw, don't do that (sadness)",sadness,sadness
"Ooh, oh no! I have to go! I have a massage appointment. (sadness)",sadness,surprised
"Oh no, stay here we'll keep doing this. I'll pay you. (neutral)",neutral,sadness
"No, I got in trouble for that before. I'll see you later. (neutral)",neutral,fear
Absolutely. I love the way you kiss. (joy),joy,joy
Oh my God! Oh my God! I'm so sorry! (fear),fear,surprised
"Aw forget it, it's from (neutral)",neutral,neutral
You think you can knock up my daughter and then not marry her?! I'm gonna kill you!! (anger),anger,anger
Y'know this is actually not a great time for me. (sadness),sadness,fear
"Okay! So, we'll just stay married. (joy)",joy,neutral
"Yes, exactly! (joy)",joy,joy
And I will make everyone call me Mrs. Geller! (joy),joy,joy
"Wow! This is so amazing. I uh, I really thought I'd have to talk you into this more. (joy)",joy,joy
What-wh-what so we'll just stay married forever?! (surprise),surprise,surprised
"Okay, look, how is this gonna affect you? (neutral)",neutral,neutral
Really? (anger),anger,neutral
I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.! (joy),joy,neutral
It's (neutral),neutral,neutral
"Ohh, okay, I'm sorry. (sadness)",sadness,anger
You're right. (neutral),neutral,anger
Y'know what? (neutral),neutral,anger
I'm asking you to do me a favor. (neutral),neutral,neutral
You are asking me to be your wife! (anger),anger,anger
And as my wife I think you should grant me this favor. (neutral),neutral,joy
Oh my God! (surprise),surprise,surprised
"I know, I know, I'm such an idiot. (joy)",joy,disgust
"My brother's going through that right now, he's such a mess. How did you get through it? (neutral)",neutral,sadness
"Well, you might try accidentally breaking something valuable of hers, say her- (neutral)",neutral,anger
#NAME? (neutral),neutral,neutral
"That's one way! Me, I- I went for the watch. (neutral)",neutral,neutral
You actually broke her watch? (surprise),surprise,surprised
"Barry, I'm sorry... (sadness)",sadness,sadness
I am so sorry... (sadness),sadness,sadness
"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway... (sadness)",sadness,neutral
"No real-, honey, really it's fine, just g-go with Susan. (neutral)",neutral,sadness
"Really, I, no, I think girls night out is a great idea. (joy)",joy,fear
"Okay, okay, bye (neutral)",neutral,neutral
So what are they doing? (neutral),neutral,neutral
"I don't know, something girlie. (joy)",joy,disgust
"Hey, you're early. (neutral)",neutral,surprised
What are you doing with the lamp? (surprise),surprise,fear
I'm just taking it to be re-wired. (neutral),neutral,neutral
"Oh, well don't take it to the same place you took the stereo, 'cause they've had that thing for over a week. (disgust)",disgust,fear
"No, no, Mr. Heckles no one is making any noise up here. (neutral)",neutral,anger
You're disturbing my oboe practice. (anger),anger,anger
You don't play the oboe! (anger),anger,surprised
I could play the oboe! (anger),anger,anger
Ohhh! That is soo sweet! (joy),joy,joy
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me. (joy)",joy,neutral
"All right that's, that's it!! Get off her! (anger)",anger,anger
What is going on? (surprise),surprise,surprised
What's going on?! That's what's going on!! (anger),anger,anger
Ross! (surprise),surprise,surprised
I have been down in your store for twenty minutes trying to get a tie! (anger),anger,anger
What do I have to do to get some service?! (anger),anger,anger
Hi Rach. (neutral),neutral,anger
Ross? (neutral),neutral,neutral
Yeah? (neutral),neutral,neutral
Hey it's Mona! From the wedding. (joy),joy,joy
Oh hi! (joy),joy,neutral
Hi! (joy),joy,joy
Wow! Uh...how are you? (surprise),surprise,surprised
"I'm good except umm, you still owe me a dance. (neutral)",neutral,joy
"Oh that's right. Well uh, would you be interested in seeing a Ukrainian film? (joy)",joy,neutral
Oh you're serious. Sure! (surprise),surprise,surprised
Great! Well umm (joy),joy,joy
I think I might need one more cup of coffee. (neutral),neutral,neutral
"Sure! Uh, let me get it for ya. (neutral)",neutral,joy
Okay. (neutral),neutral,neutral
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him. (sadness)",sadness,sadness
Go! (anger),anger,neutral
"What? Hey wait a minute! Phoebe, how do you even know who the father is? (surprise)",surprise,surprised
"I may play the fool at times, but I'm a little more than a pretty blond girl with an ass that won't quit. (anger)",anger,joy
I believe this belongs to the father of your baby. (neutral),neutral,neutral
"Oh God... Oh, he's in there right now? (surprise)",surprise,fear
Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do? (neutral),neutral,neutral
"Uh, let's rip! (fear)",fear,joy
Really? Are you sure? (surprise),surprise,neutral
Oh Phoebe! (joy),joy,joy
"Okay, sorry. Yeah. (neutral)",neutral,sadness
Hey Rach. (neutral),neutral,neutral
"Hey, thank you so much for these tickets, Chandler. (joy)",joy,joy
"Oh well, this was a really important experience for me, and I wanted to share it with you. (joy)",joy,joy
"Oh, you're so wonderful. (joy)",joy,joy
"It can't be me, I'm standing right here. (neutral)",neutral,neutral
Wanna peek? (neutral),neutral,joy
No! (disgust),disgust,anger
Come on! (surprise),surprise,joy
We're not peeking? (sadness),sadness,neutral
Well I'm peeking. Oh my God! (surprise),surprise,surprised
"Hello sir, you know Monica. (neutral)",neutral,neutral
Chandler is fantastic!! (joy),joy,joy
What?! (surprise),surprise,surprised
Y'know how people just click? (joy),joy,joy
"Like he came by to pick me up, and I opened the door, and it was just like, click! (joy)",joy,joy
Did he tell you? (surprise),surprise,joy
"Oh, and he's got such a good heart! Doesn't he have a good heart? (joy)",joy,joy
"Oh, I know... (joy)",joy,sadness
"Oh, I know and he's soo sweet! Listen, he said he was going to call, so put him straight through. (joy)",joy,joy
Isn't this great?! (joy),joy,joy
Don't spoil it. (neutral),neutral,neutral
Hi. (neutral),neutral,neutral
"Hi, sweetie! (joy)",joy,joy
Hello. (neutral),neutral,neutral
"Hi, Ross. (neutral)",neutral,neutral
"Yeah, huh. (neutral)",neutral,disgust
I?ve got some bad news. (sadness),sadness,sadness
What? (fear),fear,surprised
"I can get a quick bite to eat, but then I have to come back up here. (neutral)",neutral,sadness
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time? (sadness)",sadness,anger
"But work comes first! Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya? (joy)",joy,anger
"Nooo, he?s leaving for a better job. (neutral)",neutral,neutral
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh? Good bye. (joy)",joy,anger
"Okay, then. (neutral)",neutral,neutral
Okay. (neutral),neutral,neutral
Well we?re gonna miss you around here. (sadness),sadness,sadness
"Yeah, me too. (sadness)",sadness,sadness
"So, see ya on Saturday. (neutral)",neutral,neutral
"Yeah, you bet. (neutral)",neutral,joy
Whazzup?? (neutral),neutral,joy
"Seriously dude, 3 years ago. (joy)",joy,neutral
"Listen, can you do me a favor? (neutral)",neutral,neutral
I'm gonna be out today. (neutral),neutral,neutral
"Can you just keep an eye on Joey, make sure nothing happens between him and Molly? (neutral)",neutral,fear
You don't trust him? (surprise),surprise,surprised
I think the check in is that way. (neutral),neutral,neutral
Ahh. (neutral),neutral,surprised
"Monica face it, Chandler is against marriage. And-and always will be! (neutral)",neutral,neutral
Well there's some people who do want to marry me. (anger),anger,neutral
There are? (surprise),surprise,surprised
Yeah! Richard! (anger),anger,joy
R-R-Richard said he wants to marry you?! And-and Chandler's tellin' ya how much he hates marriage?! (surprise),surprise,surprised
That's right. (neutral),neutral,neutral
Chandler (neutral),neutral,neutral
You just told me that he hates marriage! (surprise),surprise,anger
