Conversation,Original_Label,Ds-r1
"But It's okay because now, you know, you'll just go on with your life and--",neutral,sad
I'm gonna forget him.,sad,sad
"No, you'll never forget him.",neutral,sad
I won't be able to hear his voice or his--,sad,sad
I know. but you're not  I mean you're not going to forget him.  The pain will go away eventually and--or it will subside--,neutral,sad
You start to lose like that image after a while.,sad,sad
"That will be, It'll be--it'll be better that way. I mean Time will tell.  Time heals, you know, and it's good.  It's okay.  I mean, it wasn't anybody's fault or anything like that so .",neutral,sad
"It's hard to lose someone that way, but he's he's better--he's better off now.",neutral,sad
Thanks.,sad,neutral
"Oh, you got what?  Where?",excited,surprised
I got into U.S.C.,excited,excited
"Oh, no way.",excited,surprised
"Yeah, I'm so excited.  So I'm gonna say--",excited,excited
Are you gonna go? you gonna-,excited,frustrated
"Yeah, I think, I mean because where else would I gonna go?  Like the other places that I applied to I really didn't like that much anyway.",excited,frustrated
So--,excited,frustrated
"Wow, that's...",excited,surprised
"...that's first choice, huh? That's so awesome and now look you're gonna be--you're gonna be here. you know",excited,excited
"Yeah, I know.",excited,neutral
Absolutely. I'm so excited.,excited,excited
"I know.  I know. And we'll all get to hang out.  And I'm--even though we'll be at like at different parts of the city, we can still, like...",excited,frustrated
"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",excited,happy
"Yeah, no, definitely--It's gonna..",excited,frustrated
Yeah.,excited,neutral
"and like-- The football team--And like all the-...you- what I mean, like...",excited,frustrated
Yeah,excited,neutral
Fight on.,excited,excited
"You can walk somewhere and be anywhere in the country and be like, oh, yeah, I am at U.S.C.",excited,neutral
"And you know what, you know what I mean, like it's recognizable rather than just being like I went some random school. It's like people really know what you...",excited,neutral
[LAUGHTER],excited,happy
Wow. That's cool.,excited,surprised
"...like, they feel like--I feel like it's going to be so like accomplished.  Do you know what I mean?",excited,excited
Like it has some prestige. so,excited,neutral
Yeah. Hey. Prestigious school.,xxx,neutral
"So, what, do you have to send in your deposit now?  Or what you-?",xxx,frustrated
"Yeah, I mean there's all the money stuff and my mom's helping me with the financial aid and stuff.  But, it'll be fine--",excited,frustrated
"Like, now that I'm accepted, it's just, like, such a huge load off my mind.",excited,happy
That's great.,xxx,happy
I don't mind worrying about all the paperwork.  You know--,excited,neutral
Yeah.,xxx,neutral
So...,neutral,neutral
"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know",excited,happy
"Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.",excited,frustrated
"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",excited,excited
That'll be awesome.,happy,excited
"I mean because you went to the campus before, right?",happy,neutral
"Yeah, oh totally.  It's a beautiful campus.  It's gonna be really nice.  Um, and everyone is friendly and like there's ivy on all the walls.  Oh, it's just so--it's so like collegiate.",excited,excited
"You know what I mean?  Like, it's like exactly what I want.",excited,happy
So what're you--what're you gonna do there?  Have you decided?  Thought about it?,xxx,frustrated
"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first...",excited,frustrated
"I know.  I mean, it's good all around.",xxx,happy
"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",excited,excited
"So, um, so I don't know.",excited,frustrated
[LAUGHTER],xxx,happy
I mean I'm gonna take a bunch of stuff and see.,excited,neutral
Oh man.,excited,neutral
"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean.",excited,frustrated
I always see people walking around with like U.S.C stuff on--,xxx,neutral
"I know, I get to be one of those now--I'll like walk around and be like a U.S.C..  You know what I mean.",excited,excited
You know is like.,xxx,neutral
I know.,xxx,neutral
Ahh. Yeah. [GARBAGE],excited,neutral
"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome.",excited,excited
And you'll be like...,excited,neutral
"Student. I'm a student. Yes I am, Thank you very much.",excited,neutral
[BREATHING],excited,neutral
A U.S.C. graduate now. You're set.,excited,happy
I know.  I'm excited.,excited,excited
"Well, that'll take a while. [GARBAGE]",excited,frustrated
"I know, that's a ways down the road. That's cool.",xxx,neutral
That's going to be a lot of work.,excited,frustrated
"But, it'll be fine, I mean.  I'm so excited. It's going to be so fun.",excited,excited
In LA. Oh man.,xxx,excited
"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",excited,frustrated
So much.,xxx,neutral
"But it's LA, you know, everything.",xxx,neutral
You're getting close to the beach.  I mean geez.,excited,frustrated
I know. I know. So fun.  I can't wait.,excited,excited
"Cool.  Well give me a call, you know when--You get in town. definitely Awesome.",xxx,excited
I will. I will. Thank you.,excited,happy
Thanks.,excited,neutral
Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,frustrated,frustrated
"All right, sir.",neutral,neutral
Okay.,neutral,neutral
"Um, how may I help you.  You're trying to book a specific flight?",neutral,neutral
"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-",frustrated,neutral
"Oh, yeah, absolutely.  You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",neutral,sad
"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",neutral,excited
"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",neutral,happy
You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,neutral,surprised
Is that all right?,neutral,neutral
"I can do that right now for you. No, absolutely.  I can take care of you all the way through to the end.",neutral,happy
All I'm going to need is your credit card number but just give me one moment. So-,neutral,fear
[BREATHING] that's good.,neutral,happy
"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.",neutral,neutral
"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",neutral,frustrated
Absolutely. we we,neutral,neutral
"Yes, I completely understand.  Actually, our-our airline only uses five star hotel and above.  Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",neutral,happy
"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",neutral,happy
Okay. So--,neutral,neutral
Yeah.,neutral,neutral
"Well, you know, we wanted to--we wanted to go to Maui and--That was a",neutral,frustrated
Okay.,neutral,neutral
" --you know, the kids wanna go to the beach and stuff and so--um",neutral,neutral
Great.  How many seats?,neutral,frustrated
"Well, it's gonna be four of them.",neutral,neutral
Okay.  Great.  Four seats.  I'll book you for four seats.,neutral,neutral
All right.  And can they like all get together?,neutral,neutral
"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?",neutral,neutral
"Um- You know, window is nice. I guess",neutral,neutral
"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neutral,frustrated
"All right, Sure.  A yeah, that- that'd be good.",xxx,neutral
Okay.  Great.  What time of the day would you like?,neutral,frustrated
"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",neutral,neutral
All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,neutral,neutral
"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",neutral,excited
"And, like, there's there's shuttles or something that I can get to the hotel.",neutral,neutral
Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,neutral,neutral
And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,neutral,neutral
"Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",xxx,frustrated
Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,neutral,neutral
All right.  So we're confirmed then or do you--All right.,neutral,frustrated
Absolutely. Thank you so much for calling and we hope that you will come to us again.,neutral,happy
Okay.,neutral,neutral
Thank you.,neutral,happy
What's he gonna say?  Maybe we ought to tell him before he sees it.,xxx,fear
He saw it.,xxx,neutral
"How could he see it?  I was the first one up, he was still in bed.",xxx,surprised
He was out here when it broke.,xxx,neutral
When?,xxx,neutral
About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,xxx,fear
What was he doing out here at four in the morning?,xxx,fear
"I don't know.  When it cracked, he ran back in the house and cried in the kitchen.",xxx,sad
Did you talk to him?,sad,neutral
No.  I thought it was best to leave him alone.,xxx,frustrated
He cried hard?,sad,sad
What was he doing out here at that hour?,sad,fear
He's dreaming about him again.  He's walking around at night.,xxx,fear
He's getting just like after he died.  What is the meaning of that?,xxx,sad
"I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",xxx,sad
What?,xxx,surprised
"Being dishonest with him.  I mean, that sort of thing always pays off and now it's paying off.",xxx,frustrated
You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,xxx,frustrated
What do you want to do argue with him?,frustrated,anger
"No, I don't want to argue with him, but it's about time he realized that nobody believes Larry's alive anymore?",xxx,frustrated
Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,anger,sad
You can't say that to him.,frustrated,frustrated
We've got to say it to him.,frustrated,frustrated
Can you prove it?  How can you prove it?,frustrated,frustrated
"For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",anger,frustrated
"To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",frustrated,sad
"Sit down, Mom.  I want to talk to you.",xxx,frustrated
"Trouble is the God damn newspapers.  Every month or so a boy turns up out of nowhere so, you know, the next one is gonna be Larry.",xxx,frustrated
All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,frustrated,frustrated
Why?,xxx,neutral
You know.,xxx,neutral
"I've got an idea, but what's the story?",sad,neutral
I'm gonna ask her to marry me.,neutral,excited
"Well, that's only your business, Chris.",neutral,neutral
You know it's not only my business.,frustrated,frustrated
What do you want me to do?  You're old enough to know your own mind.,anger,frustrated
So it's all right then?,frustrated,frustrated
I'll go ahead with it?,frustrated,neutral
"Well, you want to make sure that your father isn't going to--",xxx,fear
"Well, then it isn't just my business--",anger,frustrated
I'm just saying that--,neutral,frustrated
"Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",xxx,anger
I ignore what I gotta ignore.  The girl is Larry's girl.,xxx,frustrated
She's not Larry's girl.,anger,neutral
"From your father's point of view, he isn't dead.  And you've no right to take his girl.",frustrated,anger
"And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",frustrated,frustrated
"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",frustrated,frustrated
You're a considerate fellow.  There's nothing wrong with that.,neutral,neutral
To hell with that.,anger,anger
[BREATHING] Have you asked Annie yet?,neutral,fear
I wanted to get this settled first.,xxx,neutral
"Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",neutral,frustrated
"Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",sad,frustrated
"Trouble is, you don't see enough women.",sad,frustrated
You never did.,frustrated,frustrated
"So what, I'm not fast with women.",xxx,frustrated
I just don't see why it has to be Annie.,frustrated,frustrated
Because it is.,neutral,neutral
"Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",frustrated,frustrated
"I can't help it.  I know her best.  I mean, I grew up next door to her.",xxx,frustrated
"These years when I think of a wife, I think of Annie.  What do you want, a diagram?",frustrated,frustrated
"I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",frustrated,frustrated
"I mean, what's gonna happen to your father?  Do you know?  I don't.",frustrated,fear
"All right.  All right, then, Mom.",frustrated,frustrated
I just--give it some more thought.,frustrated,frustrated
I've given it three years of thought.  I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.,frustrated,frustrated
"But if I can't--if that can't happen here, then I'll have to get out.",xxx,frustrated
What the hell is this?,surprise,anger
I'll get out.  I'll get married and go live some place else.  Maybe New York.,xxx,excited
Are you crazy?,anger,anger
I've been a good son too long.  A good sucker.  I'm through with it.,anger,anger
What about the business?  What the hell is this?,anger,anger
The business?  The business doesn't inspire me.,anger,sad
Must you be inspired?,anger,frustrated
"Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",anger,happy
"I want a family.  I want kids.  I want something that I can give myself to.  Annie's in the middle of that.  Now, where do I find it?",xxx,frustrated
"Tell me, you'd leave the business?",xxx,anger
"Yes, on this I would.",neutral,neutral
"Well, you don't want to think like that.",anger,frustrated
Then help me stay here.,xxx,fear
"All right, but just don't go thinkin' like that 'cause otherwise what did we work for?  I mean, the whole thing is for you, Chris.  The whole shootin' match is for you.",xxx,frustrated
"I know.  I know, Mom.  Just help me stay here.",frustrated,frustrated
"All right.  Just-- just don't go thinkin' that way, you hear me?",frustrated,frustrated
I am thinkin' that way.,neutral,neutral
"I don't understand you, do I?",frustrated,frustrated
"No, you don't.  I'm a pretty tough guy.",neutral,frustrated
I can see that.,sad,neutral
She's been in New York for three and half years.  Why all of a sudden?,xxx,surprised
"Well, maybe he just wanted to see her again.",neutral,neutral
Nobody comes seven hundred miles just to see.,xxx,frustrated
What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?,neutral,frustrated
Don't look at me like that.  He didn't tell me anymore than he told you.,xxx,frustrated
She's not-,xxx,frustrated
How do you know he's even thinking of it?,neutral,frustrated
-he's not gonna marry her.,oth,sad
It's got that all about it.,anger,neutral
"Well, so what?",neutral,frustrated
"What's going on here, Joe?",xxx,neutral
"Now, listen Kate.",neutral,frustrated
"She's not his girl, Joe.  She knows she's not.",xxx,sad
You can't read her mind.,neutral,neutral
"Well then why is she still single?  I mean, New York is full of men.  Why isn't she married?  Probably a hundred people told her she's crazy, but she's waited.",frustrated,frustrated
How do you know why she's waited?,neutral,frustrated
"She knows what I know, that's why.  She's faithful as a rock.  In my worst moments I think of her waiting and I know again that I'm right.",frustrated,happy
"Look, it's a nice day.  What are we arguing for?",frustrated,frustrated
"Nobody in this house dares take her faith away, Joe?  Strangers might, but not his father, not his brother.",xxx,anger
"Well, what do you want me to do about it?",frustrated,frustrated
I want you to act like he's coming back.  Both of you.  Don't you think I haven't noticed since she got here.  I won't stand for any nonsense.,frustrated,anger
But Kate--,frustrated,frustrated
"Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",anger,sad
But why did that happen the very night she came here?  She sleeps in his room and his memorial breaks to pieces.  Just look.  Look at it.,anger,fear
Calm yourself.,frustrated,neutral
"Believe with me, Joe.  I can't stand all alone.",frustrated,fear
Calm yourself.,frustrated,neutral
"Last week, a man turned up in Detroit missing longer than Larry.  I mean, you read it yourself.",frustrated,neutral
All right.  All right.  Calm yourself.,frustrated,frustrated
"You, above all, have to believe.",frustrated,happy
What?- Why- Why me above all?,xxx,frustrated
Just--just don't stop believing.,frustrated,frustrated
What does that mean?  Me above all?,anger,surprised
Look at you.  Look at you shaking.,anger,fear
I can't help it.,frustrated,frustrated
What have I got to hide?  What the hell is the matter with you Kate?,anger,anger
It's all right.  It's a good thing.,xxx,happy
"You know, it's lovely here, the air is sweet.",xxx,happy
Why?,xxx,neutral
"Well, for one thing, your mother as much as told me to go.",xxx,frustrated
Oh.,xxx,neutral
"You saw that.  I mean and then, well, you've been kind of, um--",xxx,frustrated
What?,xxx,surprised
"Well, kind of embarrassed ever since I got here.",xxx,sad
"The trouble is, I planned on sort of sneaking up on you over a period of a week or so.  But, they take it for granted that we're all set.",xxx,frustrated
"I knew they would, your mother anyway.",xxx,frustrated
"Well,",xxx,neutral
"from her point of view, why else would I come?",sad,frustrated
"Oh.  Would you want to?  I guess you know, this is why I asked you to come.",xxx,frustrated
I--I guess this is why I came.,xxx,fear
"Anne, I love you.  I love you a great deal.  I love you.",xxx,happy
I have no imagination.  That's all I know to tell you.,xxx,sad
I'm embarrassing you and I didn't want to tell it to you here.  I wanted some place we'd never been before.  A place where we'd be brand new to each other.,xxx,frustrated
"You feel it's wrong here, don't you?  This yard, this chair.  I want you to be ready for me.  I don't want to have to win you away from anything.",excited,frustrated
"Oh, Chris, I've been ready for a long, long time.",xxx,excited
And he's gone forever.  You're sure?,xxx,sad
I almost got married two years ago.,happy,sad
Why didn't you?,xxx,frustrated
You started to write me and--,happy,surprised
You felt something that far back?,xxx,surprised
Every day since.,happy,sad
"Anne, why didn't you let me know?",xxx,frustrated
"Well, I was waiting for you.  I mean, till then you never wrote and when you did, I mean, what did you say?  You can sure be ambiguous sometimes.",xxx,frustrated
"Give me a kiss, Anne.  Give me a-",xxx,excited
"oh God, I kissed you.  I kissed Annie.  How long--how long I've been waiting to kiss you.",xxx,excited
I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,happy,anger
"Oh, Annie, we're gonna live now.  I'm gonna make you so happy.",xxx,excited
Not like that you're not.,xxx,frustrated
I kissed you.,xxx,happy
"Like Larry's brother.  Do it like you, Chris.  What is it?",xxx,neutral
Let's drive someplace.  I want to be alone with you.,xxx,excited
"No.  What is it, your mother?",xxx,anger
No.  Nothing like that.,sad,frustrated
"Then, what's wrong?  I mean, even in your letters there was some--something ashamed.",sad,frustrated
"Yeah, I suppose I have been.  But it's going from me.",sad,sad
You've gotta tell me.,sad,frustrated
I don't know how to start.,sad,frustrated
It wouldn't work this way.,sad,frustrated
"It's all mixed up with so many other things.  You remember overseas, I was in command of a company?",sad,frustrated
"Yeah, sure.",sad,neutral
"Well, I lost them.",sad,frustrated
How many?,sad,neutral
Just about all.,sad,neutral
"Oh, gee.",sad,surprised
It takes some time for a guy to toss that off.  'Cause they weren't just men.,sad,sad
"For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks.  I put them in pocket.  It's only a little thing, but that's the kind of guys I had.",sad,happy
"They didn't die, they killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.",sad,sad
"I got this idea watching them go down.  Everything was being destroyed, see, but it seemed that there was one new thing being made.  A sort of responsibility.  Man for man.",sad,surprised
"You know what I mean?  To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him.",sad,excited
Then I came back and it was incredible.  There was no meaning in it here.  The whole thing to them seemed like sort of a bus accident.  I went to work with Dad and that rat race again.,sad,frustrated
"And I felt what you said, ashamed somehow 'cause nobody was changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",sad,sad
"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",sad,happy
Because otherwise all you have is really loot and there's blood on it.  And I didn't want to take any of it.  And I guess that included you.,sad,frustrated
You still feel that way?,sad,surprised
I want you now Annie.,xxx,excited
"Cause you mustn't feel that way.  Because you have a right to everything that you have.  Do you understand that?  Everything, Chris, and me too.",xxx,frustrated
"I mean, and your money, there's nothing wrong with your money.  I mean, your father put hundreds of planes in the air.  A man should be paid for that.",xxx,frustrated
"I know Annie.  Annie, I'm gonna make a fortune for you.",xxx,excited
What'll I do with a fortune?,happy,surprised
What time is it?  They're supposed to run around midnight.,excited,frustrated
"This is great, isn't it?  Look at the night we've got here, couldn't be better.",excited,happy
"I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it.",excited,fear
How you doing?,excited,neutral
Fine.,xxx,frustrated
Is that--no--is that just foam?  I can't even tell.,excited,frustrated
"Well, I guess we can tell, it probably isn't right?  Probably be unmistakable don't you think?",excited,frustrated
"How you doing?  Aw, you know what I forgot?  I forgot to bring my flashlight.  Oh, how could I be so stupid?  I should've brought my flashlight.",excited,frustrated
What flashlight?,neutral,surprised
"You know, the flashlight, the silver one.  There's only one isn't there?",xxx,neutral
That's not your flashlight.,xxx,surprised
Who's is it?,xxx,neutral
It's ours.  It's mine too.,xxx,happy
"Oh, well sure.",neutral,neutral
"You kept saying my flashlight, if as if somehow it's just yours.  I mean is that supposed to make me feel?",xxx,frustrated
"Right, of course.  Our flashlight.  Mine and yours.  I mean, me flashlight is su flashlight naturally.",neutral,frustrated
How could we forget to bring it?  I hope the moon stays out.,xxx,fear
"I wonder, do they always run during a full moon?  I can't remember if it was full last year.  Do you remember?",neutral,neutral
Yeah.,neutral,neutral
"You cold?  Do you want my jacket?  Oh, we should've brought the blanket.  Our blanket.",neutral,fear
"This is great, isn't it?  A six pack would be just the ticket right now.",excited,frustrated
I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.,excited,frustrated
You think they can hear us talk?  Or feel the vibrations in the sand when we move around?,excited,fear
I'm cold.,xxx,neutral
Do you want my jacket?,neutral,neutral
"It's after eleven, let's just go home.",frustrated,frustrated
Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home.,xxx,frustrated
There is no point in coming down here.,xxx,sad
Right.,neutral,neutral
That's my point.,xxx,neutral
That's my point too.,neutral,neutral
"So, let's go.",xxx,neutral
No. No. That's not my point.  The point is there's no point in coming down if we just leave.  Don't you want to see it?,neutral,frustrated
Not particularly.,xxx,neutral
Why not?,xxx,frustrated
I just don't.  It's stupid.,xxx,frustrated
"Honey, this is a natural phenomenon.  I mean this only happens once a year, you know.",xxx,neutral
"Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this.  We live forty minutes away.  It's too good to pass up.",excited,excited
"Pass up what?  These little fish swim onto the beach, they flop around, and swim away.  And then they die.",frustrated,sad
"Yeah, but that moment on the beach, is the highlight of their little lives.  All that flopping is laying eggs or what do you--spawning or mating.  I mean,",excited,happy
this is a big night for these guys.  Life's last orgy.,excited,fear
"What are you so excited about?  I mean, it's not a moon landing we're talking about here.  It's fish.  It's a fish nobody even eats.",frustrated,frustrated
Yeah they do.,frustrated,neutral
"Ah, Augie.",frustrated,neutral
Alright.  But it's fish that do something that none of the other fish do.  Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs.,excited,surprised
There's--there's a bit of the magic--some unexplainable here.  I don't see how you can not be interested.,xxx,excited
I'm just not.,frustrated,sad
For real?,xxx,surprised
Yeah.,xxx,neutral
"I don't get it.  The first time we came here, you said it was the best night of your life.",neutral,frustrated
"And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.",xxx,excited
"Last year, you will also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions.",frustrated,sad
We weren't in a good spot.,neutral,frustrated
We didn't see them the first time either.,neutral,neutral
"We just weren't in a good spot.  This is a much better spot.  Believe me, I've got good instincts for these things.",xxx,happy
There is that--no that's just seaweed isn't it?,excited,fear
"Oh man, this is great, isn't it?  I wouldn't miss this for anything.  Here, think about this, all right, I know you're not interested, but think about this.",excited,excited
"Somewhere out there, this huge mass of silver fish swimming this way.",xxx,surprised
"They don't know why, we don't know why.  Nobody sent them an invitation or a map, it wasn't a decision, just-",xxx,frustrated
"all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming.  And they're swimming right now as if that's all that matters.",excited,excited
It's like single mindedness with no mind.  It's urgency that's pure urge.  They don't know what drives them.  They don't ask it a question or give it a name.,excited,fear
"They just turn as one and start the swim that brings them right here to where we stand, for a massive celebration of sex and death.",excited,excited
"Ah, God, I'm giving myself goose bumps.  Look, all my hairs are popped up.",excited,excited
That's the wind.,xxx,neutral
"Well, so what do you think?",neutral,neutral
About what?,neutral,neutral
What I was saying.,neutral,neutral
It's ridiculous.,xxx,frustrated
"Well, so what do you think?",excited,neutral
About what?,neutral,neutral
What I was saying.,neutral,neutral
It's ridiculous.,frustrated,frustrated
It certainly is not.  It's slightly exaggerated scientific fact.,neutral,frustrated
It's PR.  Somebody sold you a bill of goods that this wonderful event is gonna take place on the beach.,xxx,frustrated
"Well, I'm not the only one.  Look at all these people.",neutral,neutral
"Sure, everybody's told the same story.  It keeps us all excited.  It keeps us coming back for more.  It keeps us thinking that life is gonna start any second now if we could just find the right spot and get in on the action.",xxx,excited
Are we talking about the same thing?,xxx,frustrated
"Well, I'm sorry, but it's still just fish to me.",xxx,frustrated
"Carla, can I ask you something?  Don't take this wrong, but are you having your period?",neutral,fear
"God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",anger,frustrated
"Well, what's bugging you?",frustrated,frustrated
We just have different ideas of what this evening is supposed to look like.,anger,frustrated
"There's nothing to it.  We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish.  They go home. We go home.",neutral,neutral
"For heaven sake, we're not going to see the grunions.",frustrated,frustrated
Why not?,frustrated,neutral
"We never do, do we?  I mean, have we ever?",frustrated,frustrated
We've missed them twice.  That's not ever.,neutral,frustrated
Twice is every time we've tried. That's ever.,frustrated,sad
"Well, we'll see them this year.",neutral,neutral
"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.",frustrated,frustrated
"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",anger,frustrated
I thought you wanted to see it.,frustrated,frustrated
You don't understand anything I'm saying.,frustrated,frustrated
"No, of course not.",frustrated,frustrated
I did want to see it.  I always do.  I keep thinking that this is gonna be the time and it never is.,frustrated,frustrated
It's just fish.  Nothing to get traumatized about.,neutral,frustrated
"For heaven sake, this isn't about fish.",xxx,frustrated
"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst.",frustrated,frustrated
"I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news.",xxx,frustrated
"You said, ""Hey the grunion are running tonight.""  I said, ""Great, let's go.  I feel lucky.""",neutral,excited
"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--",neutral,neutral
"Do you remember the first time we came to see it?  It was about four years ago, right after we got married.",sad,happy
"I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork.",sad,happy
"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",sad,happy
"And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be.",sad,happy
Wait a minute.  I've got it.,neutral,excited
"Just dancing barefoot in the sand, drinking champagne out of the bottle.",sad,happy
"It was in the car, right?  Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?",neutral,happy
"Yeah, of course, I see it now.  You want this to be like that other time, right?  That's it, right?",neutral,frustrated
I'd rather not remember some things.  I would rather not hope for some things.,sad,sad
"Okay, yeah, sure, I see it now.  Listen, you wanna dance?",neutral,excited
No.,sad,frustrated
You want me to go get some champagne?,neutral,neutral
No.,sad,neutral
Take off our shoes?,neutral,surprised
No. No.,xxx,frustrated
"Well, what?  You want me to breathe in your ear?",frustrated,frustrated
No.,sad,neutral
You wanna get married again?,frustrated,surprised
No.,frustrated,frustrated
What?  What?  You want a divorce?,frustrated,surprised
No.,frustrated,frustrated
A vacation?,frustrated,surprised
No.,frustrated,neutral
"A new carpet?  A poodle?  Ice cream?  Back rub?  A suicide pact?  What?  What?  Carla, what the hell do you want?",frustrated,frustrated
I want something to turn out the way that it's supposed to.,xxx,frustrated
