Sentence,Original_Label,DeepSeek
Sure.  This is standing on the beach waiting.  This is fighting. (xxx) ,Statement Opinion,Statement Opinion
Right (xxx) ,Agreement,Backchannel
"I mean this is a lot of things, but it's just... (frustrated) ",Statement Opinion,Statement Opinion
[BREATHING] (frustrated) ,Others,Others
Do you understand what I am saying? (frustrated) ,Question,Question
I'm doing the best I can. (frustrated) ,Answer,Statement Non Opinion
"I know you are Augie, I know. (sad) ",Agreement,Statement Opinion
"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else. (sad) ",Statement Opinion,Statement Opinion
"Maybe if you were with someone else, too. (sad) ",Statement Opinion,Statement Opinion
I didn't say that. (sad) ,Disagreement,Statement Opinion
I just- I know I don't make you happy. (sad) ,Statement Opinion,Statement Opinion
"Don't be ridiculous.  Anything that- anything I am doing, I'd rather be doing it with you. (surprise) ",Statement Non Opinion ,Statement Opinion
Yeah? (surprise) ,Question,Backchannel
Yeah.  Don't you know that? (surprise) ,Question,Question
For Heaven's sake Augie. (xxx) ,Statement Non Opinion ,Others
"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself. (sad) ",Statement Opinion,Statement Opinion
"You know, actually now that you mention it, no I don't. (neutral) ",Statement Non Opinion ,Statement Opinion
"So maybe we are in the wrong spot, but we are with the right person. (neutral) ",Statement Opinion,Statement Opinion
"I don't know, it seemed like such a good spot to me. (frustrated) ",Statement Opinion,Statement Opinion
"We have a great view of the moon from here, though, huh? (neutral) ",Statement Non Opinion ,Question
"Hmm.  I noticed that, it's pretty. Big old white moon. (happy) ",Acknowledge ,Statement Opinion
[BREATHING] (neutral) ,Others,Others
And look what I got here. (happy) ,Command,Statement Non Opinion
"Augie, you bought refreshments. (happy) ",Statement Non Opinion ,Statement Opinion
It's not champagne. (xxx) ,Statement Non Opinion ,Statement Non Opinion
I guess we don't need glasses. (happy) ,Statement Opinion,Statement Opinion
[BREATHING] (happy) ,Others,Others
Do you want to go home?  Are you cold? (neutral) ,Question,Question
I'm beginning to think this might be the right spot after all. (happy) ,Statement Non Opinion ,Statement Opinion
"Augie, I'm sorry. (sad) ",Apology,Apology
"Shh.  If we're very quiet, the fish might come. (neutral) ",Statement Opinion,Statement Non Opinion
Or not. (neutral) ,Statement Opinion,Statement Non Opinion
Or not. (happy) ,Agreement,Statement Non Opinion
Good God. (fear) ,Statement Non Opinion ,Statement Non Opinion
Is it them? (fear) ,Question,Question
I wonder. (fear) ,Statement Non Opinion ,Statement Non Opinion
Freda is the only one who knows we are here.  She wouldn't ring up. (fear) ,Statement Opinion,Statement Opinion
It must be them then. (fear) ,Statement Opinion,Statement Opinion
It had to happen sooner or later.  What are we going to do? (fear) ,Question,Question
[BREATHING] (fear) ,Others,Others
"We are okay, aren't we darling? (xxx) ",Question,Question
"Now and always, sweet. (xxx) ",Answer,Agreement
I don't care then. (excited) ,Statement Non Opinion ,Statement Opinion
It had to happen sooner or later. (xxx) ,Statement Opinion,Statement Opinion
"Hello?  Hello?  I'm sorry, what's that? (xxx) ",Greeting,Question
No.  Wrong number. [LAUGHTER] (happy) ,Statement Non Opinion ,Statement Non Opinion
[LAUGHTER] That sent shivers up my spine. (happy) ,Statement Non Opinion ,Statement Opinion
What shall we do if they suddenly walk in on us.[LAUGHTER] (happy) ,Question,Question
We'll behave exquisitely. (excited) ,Answer,Statement Opinion
With perfect poise. (happy) ,Statement Non Opinion ,Statement Opinion
I think I shall do a curtsy. (excited) ,Statement Opinion,Statement Opinion
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they? (happy) ",Statement Opinion,Question
Hmm.  The pity is that one can't stay happy. (xxx) ,Statement Opinion,Statement Opinion
"Darling, don't say that. (xxx) ",Command,Statement Opinion
It's true.  I think the whole thing's a cruel joke. (xxx) ,Statement Opinion,Statement Opinion
What?  This beautiful and sacred thing - love? (xxx) ,Question,Question
Yes.  Meaning just that. (happy) ,Answer,Agreement
"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean? (happy) ",Statement Non Opinion ,Question
Don't laugh at me.  I'm being serious. (happy) ,Command,Statement Opinion
"Oh darling, you mustn't be serious.  It's just what they want. (xxx) ",Statement Opinion,Statement Opinion
Who's they? (excited) ,Question,Question
"All of those futile moralists who make life unbearable.  You have to laugh at them, be flippant. (xxx) ",Answer,Statement Opinion
"You know, flippancy brings out the acid in their darned, light and sweetness. (xxx) ",Statement Opinion,Statement Opinion
"you know if I laugh at everything then I must laugh at us, too. (xxx) ",Statement Opinion,Statement Opinion
Oh of course.  We are figures of fun.  All right. (xxx) ,Agreement,Agreement
"How long with it last, this ludicrous overbearing love of ours? (xxx) ",Question,Question
Who knows? (happy) ,Question,Statement Non Opinion
Shall we always want to bicker and fight? (xxx) ,Question,Question
Oh no.  That fire will fade along with our passion. (xxx) ,Answer,Statement Opinion
"Oh dear, should we like that? (xxx) ",Question,Question
Well it depends on how well we've played. (xxx) ,Answer,Statement Opinion
What happens if one of us dies?  Does the other one still laugh? (xxx) ,Question,Question
Yes.  Yes with all of his might. (excited) ,Answer,Statement Opinion
"Well that's serious enough, isn't it? (xxx) ",Question,Statement Opinion
"No, no, no, no. no.  Death is a very laughable thing.  It's a cunning little mystery, it's all done with mirrors. (xxx) ",Answer,Statement Opinion
I think you are talking nonsense. (xxx) ,Statement Opinion,Disagreement
"Oh.  So is everyone, in the long run. (xxx) ",Statement Non Opinion ,Statement Opinion
"Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children. (excited) ",Command,Command
[LAUGHTER] (happy) ,Others,Others
Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets. (happy) ,Command,Command
"Oh Elliott, worms don't pop. (happy) ",Statement Non Opinion ,Statement Non Opinion
"Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best. (happy) ",Statement Opinion,Statement Opinion
"Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you. (happy) ",Statement Non Opinion ,Statement Opinion
Do you remember that awful scene we had in Venice? (xxx) ,Question,Question
Which particular one? (xxx) ,Question,Question
The one where you put that tiny painted wooden snake in my bed. (xxx) ,Answer,Statement Non Opinion
"Oh Charles, that was his name.  He did wiggle so beautifully. (excited) ",Statement Non Opinion ,Statement Opinion
[GARBAGE] (xxx) ,Others,Others
It was a terrible thing.  I hated it. (disgust) ,Statement Opinion,Statement Opinion
I know you did.  You threw him out the window into the Grand Canal.  I'll never forgive you for that. (xxx) ,Statement Non Opinion ,Statement Opinion
How long did that row last? (xxx) ,Question,Question
It went on intermittently for days. (xxx) ,Answer,Statement Non Opinion
Uh huh. (xxx) ,Backchannel,Backchannel
But the worst one was in Cannes when your curling irons burnt a hole in my new dressing gown. (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Oh And it burnt my comb, too, and all of those towels in the bathroom. (xxx) ",Statement Non Opinion ,Statement Non Opinion
"That was a rouser, wasn't it? (happy) ",Question,Question
[LAUGHTER] That was the first time you hit me. (xxx) ,Answer,Statement Non Opinion
I did not hit you very hard. (xxx) ,Disagreement,Statement Opinion
"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous. (happy) ",Statement Non Opinion ,Statement Opinion
[LAUGHTER] I'll never forget his face. [LAUGHTER] (happy) ,Statement Non Opinion ,Statement Opinion
[LAUGHTER] We were very much younger then. (happy) ,Statement Non Opinion ,Statement Non Opinion
[LAUGHTER] And very much sillier. (happy) ,Statement Opinion,Statement Opinion
However I believe the real cause of that row was Peter Burden. (xxx) ,Statement Opinion,Statement Opinion
Oh.  You knew there was nothing in that. (xxx) ,Statement Non Opinion ,Statement Opinion
We were very much younger then. (xxx) ,Statement Non Opinion ,Statement Non Opinion
And very much sillier. (happy) ,Statement Opinion,Statement Opinion
However I believe the real cause of that row was Peter Burden. (neutral) ,Statement Opinion,Statement Opinion
Oh.  You knew there was nothing in that. (happy) ,Statement Non Opinion ,Statement Opinion
I knew nothing of the sort.  You took presents from him. (neutral) ,Statement Non Opinion ,Statement Non Opinion
"Presents?  It was only a trivial, little brooch. (happy) ",Statement Non Opinion ,Statement Opinion
"It was bristling with diamonds.  In the worst possible taste, too. (xxx) ",Statement Non Opinion ,Statement Opinion
"It was not.  I still have it, and I wear it often.  It is very pretty. (xxx) ",Disagreement,Statement Opinion
You went out of your way to torture me over Peter Burden. (neutral) ,Statement Opinion,Statement Non Opinion
I did not.  You worked that whole thing up in your jealous imagination. (neutral) ,Disagreement,Disagreement
"Well, you let him kiss you, huh?  You said you did. (frustrated) ",Statement Non Opinion ,Question
"Well, what of it? (neutral) ",Question,Statement Non Opinion
What of it? (xxx) ,Question,Question
It gave him a lot of pleasure and it didn't hurt me. (xxx) ,Answer,Statement Opinion
What about me? (anger) ,Question,Question
"If you hadn't been so suspicious and nosey, you never would have known a thing about it. (xxx) ",Answer,Statement Opinion
"That's a nice point of view, I must say. (xxx) ",Acknowledge ,Statement Opinion
Oh dear.  I'm bored with this conversation. (frustrated) ,Statement Opinion,Statement Opinion
So am I.  I'm bored stiff. [GARBAGE]  Do you want some brandy? (frustrated) ,Question,Statement Opinion
No.  Thank you. (xxx) ,Answer,Acknowledge
"I'll have a little, I think. (neutral) ",Statement Non Opinion ,Statement Non Opinion
"I don't know why you'd want any, you've already had three glasses. (xxx) ",Statement Opinion,Statement Opinion
"No particular reason.  Anyhow, they are very small ones. (neutral) ",Statement Non Opinion ,Statement Non Opinion
I just think it's silly to go on and on and on about such a thing. (xxx) ,Statement Opinion,Statement Opinion
"You can hardly call three glasses of liquor a whole evening long, going on and on and on. (frustrated) ",Statement Opinion,Disagreement
It's become a habit with you. (xxx) ,Statement Opinion,Statement Opinion
Oh.  Don't be so grand.  Just because you don't happen to want one at the moment. (frustrated) ,Statement Opinion,Disagreement
Don't be stupid. (anger) ,Command,Command
"Really, Amanda. (anger) ",Disagreement,Statement Non Opinion
What? (anger) ,Question,Question
Nothing. (frustrated) ,Answer,Acknowledge
"you going out somewhere, dear? (neutral) ",Question,Question
No.  I am just making myself fascinating for you. (anger) ,Answer,Statement Opinion
That reply has broken my heart. (xxx) ,Statement Opinion,Statement Opinion
Oh.  It's a woman's duty to allure the man. (anger) ,Statement Opinion,Statement Opinion
"Well as a matter of fact, yes, that's perfectly true. (neutral) ",Agreement,Agreement
No it isn't. (anger) ,Disagreement,Disagreement
Yes it is. (neutral) ,Disagreement,Agreement
You shut up. (anger) ,Command,Command
"Oh really.  It's a pity you didn't have any brandy, it would have made you a little less disagreeable. (anger) ",Statement Opinion,Statement Opinion
It's funny it hasn't worked such wonders for you. (xxx) ,Statement Opinion,Statement Opinion
"Snap, snap, snap.  You know you are like a little adder. (anger) ",Statement Opinion,Statement Opinion
"Adders don't snap, they sting. (xxx) ",Statement Non Opinion ,Statement Non Opinion
Nonsense.  They have a bag of venom behind their fangs and they snap. They snap. (anger) ,Disagreement,Disagreement
They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops. (anger) ,Statement Opinion,Disagreement
Did you see much of Peter Burden after our divorce? (anger) ,Question,Question
"Yes I did, quite a lot. (anger) ",Answer,Statement Non Opinion
"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow. (anger) ",Statement Opinion,Statement Opinion
Mind your own business. (anger) ,Command,Command
"You're quite insufferable, I expect it's because you are drunk. (anger) ",Statement Opinion,Statement Opinion
I think I am not in the least bit drunk. (anger) ,Statement Opinion,Disagreement
You've always had a weak head. (anger) ,Statement Opinion,Statement Opinion
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that. (anger) ,Statement Non Opinion ,Disagreement
"On the contrary, a child of two can get violently drunk on only one glass of brandy. (anger) ",Statement Opinion,Disagreement
"That's very interesting Amanda. How about a child of four?  Or a child of six?  Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots. (anger) ",Statement Opinion,Statement Opinion
Oh shut up. (anger) ,Command,Command
Shut up. (anger) ,Command,Command
"Not very funny, darling.  Why don't you have some more brandy. (anger) ",Statement Opinion,Command
[LAUGHTER] That's a very good idea.  I think I will. (xxx) ,Agreement,Statement Non Opinion
"Look, you better turn that off. I don't want to wake up the people upstairs. (anger) ",Command,Command
Why? (neutral) ,Question,Question
There are no people upstairs; it's a photographer's studio. (neutral) ,Statement Non Opinion ,Statement Non Opinion
Well then you'll wake up the people downstairs. (anger) ,Statement Non Opinion ,Statement Opinion
They are away in Tunis. (neutral) ,Statement Non Opinion ,Statement Non Opinion
This is no time of year for Tunis. (neutral) ,Statement Opinion,Statement Non Opinion
"Turn it on again, please. (xxx) ",Command,Command
I will do no such thing. (anger) ,Disagreement,Disagreement
Fine if you insist on being boorish and idiotic. (anger) ,Statement Opinion,Statement Opinion
"Will you turn that off, it's driving me mad. (anger) ",Question,Command
"You are far too temperamental, try to control yourself. (anger) ",Statement Opinion,Statement Opinion
Turn it off. (anger) ,Command,Command
"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully. (anger) ",Statement Opinion,Disagreement
"Amanda, listen, listen. (anger) ",Command,Command
Oh.  That's very amusing indeed. (anger) ,Statement Opinion,Statement Opinion
"Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible. (anger) ",Statement Opinion,Disagreement
"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live. (anger) ",Statement Opinion,Statement Opinion
This is the end.  Do you hear me?  Finally and forever. (anger) ,Statement Opinion,Statement Opinion
You're not going like this. (anger) ,Statement Non Opinion ,Disagreement
Oh.  Yes I am. (anger) ,Answer,Disagreement
You're not. (anger) ,Disagreement,Disagreement
"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad. (anger) ",Statement Opinion,Disagreement
"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live. (anger) ",Statement Opinion,Disagreement
Next. (anger) ,Command,Command
"Yes, me. Okay, okay here we go. (frustrated) ",Statement Non Opinion ,Acknowledge
My window is open. (anger) ,Statement Non Opinion ,Statement Non Opinion
"Okay, so filled out all these forms  -- (frustrated) ",Statement Non Opinion ,Statement Non Opinion
This is... Your last- Your first name is Jones? (xxx) ,Question,Question
and I have This form of ID here so... (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"Yes, Jones. (neutral) ",Answer,Answer
That's just strange I figured you filled in wrong sections. (xxx) ,Statement Opinion,Statement Opinion
Well... (xxx) ,Backchannel,Backchannel
What are you... what's...What are you applying for? (frustrated) ,Question,Question
I'm just applying for another ID. (frustrated) ,Answer,Answer
Another ID? (xxx) ,Question,Question
"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another... (frustrated) ",Statement Non Opinion ,Statement Non Opinion
Fine.  So I need ID. (xxx) ,Command,Statement Non Opinion
"I have it right here, yes. (frustrated) ",Statement Non Opinion ,Answer
"No, I need your ID to give you a second ID. (anger) ",Statement Non Opinion ,Command
It's really simple if you have a problem with it... Maybe you should-- (anger) ,Statement Non Opinion ,Statement Opinion
But that's... (frustrated) ,Backchannel,Backchannel
"That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID. (frustrated) ",Statement Non Opinion ,Statement Non Opinion
"Well, do you have your passport? (xxx) ",Question,Question
"No, I don't have a passport. (neutral) ",Answer,Answer
You have a birth certificate? (frustrated) ,Question,Question
"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean... (frustrated) ",Question,Answer
What do you expect me to do? (anger) ,Question,Question
I probably have to go wait another line to get my birth certificate don't I? (frustrated) ,Question,Question
Probably. (anger) ,Answer,Answer
You're very helpful.  What's your name? (frustrated) ,Question,Question
Joy. (xxx) ,Answer,Answer
"Hi, Joy. (xxx) ",Greeting,Greeting
Hi.   You know... (xxx) ,Greeting,Greeting
So can you help me or not? (frustrated) ,Question,Question
I am..I don't..I don't understand what you want.  A driver's license or a California ID. (frustrated) ,Question,Statement Non Opinion
Okay. [BREATHING] (frustrated) ,Backchannel,Backchannel
I need California ID. (frustrated) ,Answer,Statement Non Opinion
Okay. (xxx) ,Backchannel,Acknowledge
On top of these other two forms of ID which I already have. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"What... well, do you have a driver's license? (xxx) ",Question,Question
"No, I don't have driver's license. (frustrated) ",Answer,Answer
Then how am I supposed to give you a California ID? (xxx) ,Question,Question
Did you even look at the form?  I filled it out all these questions-- (anger) ,Statement Non Opinion ,Question
Don't raise your voice with me. (anger) ,Command,Command
Did you even look at the form?  I've already answered these question. (xxx) ,Statement Non Opinion ,Question
Don't talk to me like I'm a child. (anger) ,Command,Command
Okay. (frustrated) ,Agreement,Acknowledge
Do you know how long I've been working here? How long have you lived in California? (anger) ,Question,Question
If it makes you stop acting like a child. (frustrated) ,Statement Non Opinion ,Statement Opinion
I have been to California my whole-- (xxx) ,Answer,Statement Non Opinion
"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one. (anger) ",Command,Command
I am not...I'm not getting to back that line. (anger) ,Statement Non Opinion ,Statement Non Opinion
"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match. (frustrated) ",Statement Opinion,Command
I'm perfectly calm. (xxx) ,Statement Opinion,Statement Non Opinion
"I did not come in here to get in a yelling match with you, all right? (frustrated) ",Statement Opinion,Statement Non Opinion
Uh huh.  I didn't come here get in yelling match either. (neutral) ,Statement Opinion,Acknowledge
Just try and help me. (frustrated) ,Command,Command
They don't pay me enough to deal people like you. (neutral) ,Statement Non Opinion ,Statement Opinion
"People like me, what is that supposed to mean?  You know, this is ridiculous.  Is there like a manager here, is there someone else that I can talk to? (xxx) ",Question,Question
Why? (xxx) ,Question,Question
Why? (anger) ,Question,Question
Yeah. (xxx) ,Backchannel,Acknowledge
"So you're not going to send me a thank you card, is that a problem? Is your are not going... (xxx) ",Question,Statement Opinion
"Why, because I'm sick of talking to you. (anger) ",Answer,Answer
"Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right. (anger) ",Statement Non Opinion ,Statement Opinion
"Oh, dear. Oh, boo-foo-woo, foo-foo. (xxx) ",Backchannel,Others
"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture. (frustrated) ",Statement Opinion,Statement Opinion
Sit back down. (xxx) ,Command,Command
"Hey, Joy come in here. (neutral) ",Command,Command
What's happening? (neutral) ,Question,Question
I have to go back. (sad) ,Answer,Statement Non Opinion
I just got a letter I have to go back. (sad) ,Statement Non Opinion ,Statement Non Opinion
When? (xxx) ,Question,Question
First thing tomorrow morning. (sad) ,Answer,Statement Non Opinion
Are you kidding me? (surprise) ,Question,Question
How... (frustrated) ,Question,Statement Non Opinion
"I don't understand, I don't underst-- (xxx) ",Answer,Statement Non Opinion
How can they do that? (frustrated) ,Question,Question
They can do it. (xxx) ,Answer,Statement Non Opinion
They said you're home for at least four years. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"I guess they can do it, (frustrated) ",Statement Opinion,Statement Non Opinion
"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back. (sad) ",Statement Non Opinion ,Statement Non Opinion
[BREATHING] (frustrated) ,Others,Backchannel
That's not fair. (frustrated) ,Statement Opinion,Statement Opinion
I can't believe it. I just got back. (xxx) ,Statement Non Opinion ,Statement Opinion
"So yeah, we leave tomorrow... (sad) ",Statement Non Opinion ,Statement Non Opinion
[BREATHING] (frustrated) ,Others,Backchannel
...we're all shipping out. (sad) ,Statement Non Opinion ,Statement Non Opinion
I just got I feel like I'm in shock actually. (sad) ,Statement Opinion,Statement Opinion
I don't even know what to tell you. (sad) ,Statement Opinion,Statement Opinion
I don't know. (sad) ,Statement Non Opinion ,Statement Non Opinion
What about the birthday party? (sad) ,Question,Question
I guess you're just going to have to have it without me. (sad) ,Answer,Statement Non Opinion
"Hey listen, it's going to be okay though, all right? (sad) ",Statement Opinion,Statement Opinion
You're going to be fine. (sad) ,Statement Opinion,Statement Opinion
Me?  I'm not worried about me. (xxx) ,Statement Non Opinion ,Statement Opinion
"I'm going to be fine too, okay? (sad) ",Statement Opinion,Statement Opinion
How do you know? (xxx) ,Question,Question
I know I have a good... I have a really good group of guys with me. (sad) ,Answer,Statement Opinion
We're going to be okay. (sad) ,Statement Opinion,Statement Opinion
You're going with the same ones? (sad) ,Question,Question
Do promise me you're going to take a lot of pictures. (sad) ,Command,Command
"Always, I always do. (xxx) ",Statement Opinion,Statement Non Opinion
I know. (sad) ,Agreement,Acknowledge
It's not the same though. (sad) ,Statement Opinion,Statement Opinion
I just wish there was something I could do. (sad) ,Statement Opinion,Statement Opinion
We could hide away. (xxx) ,Statement Opinion,Statement Opinion
Run away? (sad) ,Question,Question
Mm hmm.  We'll build a bunker and never come out. (sad) ,Statement Non Opinion ,Statement Opinion
"I really don't want to go, I don't want to go... (sad) ",Statement Opinion,Statement Opinion
[LAUGHTER] Mmm. (xxx) ,Backchannel,Backchannel
I'm scared. (xxx) ,Statement Opinion,Statement Opinion
Don't say that. (sad) ,Command,Command
I'll send you a letter every single day. (xxx) ,Statement Non Opinion ,Statement Non Opinion
I love you. (sad) ,Statement Opinion,Statement Opinion
I love you too. (xxx) ,Statement Opinion,Statement Opinion
The craziest thing just happened to me. (excited) ,Statement Non Opinion ,Statement Opinion
What? (xxx) ,Question,Question
This girl; she just offered me fifty thousand dollars to marry her. (excited) ,Answer,Statement Opinion
[BREATHING] (surprise) ,Others,Acknowledge
Yeah. (xxx) ,Backchannel,Backchannel
Why? (excited) ,Question,Question
"Well, she's not a citizen so she wants to get a visa. (neutral) ",Statement Non Opinion ,Statement Non Opinion
Is she on the run? (excited) ,Question,Question
"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years. (excited) ",Statement Non Opinion ,Statement Opinion
"Oh, she just needs to marry you. (excited) ",Statement Non Opinion ,Statement Opinion
That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship. (excited) ,Question,Statement Opinion
That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome? (excited) ,Question,Statement Opinion
"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask. (neutral) ",Answer,Statement Non Opinion
That's so cool. Uh huh. (excited) ,Acknowledge ,Acknowledge
[LAUGHTER] Why did she pick you? Where were you? (excited) ,Question,Question
"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like... (excited) ",Answer,Statement Opinion
You were at a party? And she's like hey. You seem unattached she's like. (excited) ,Question,Statement Opinion
"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but... (excited) ",Answer,Statement Opinion
That's unbelievable... Yeah. (excited) ,Statement Opinion,Acknowledge
Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like... (excited) ,Statement Non Opinion ,Statement Opinion
Have you? (xxx) ,Question,Question
It's like I'm really going to get married. We'll have like the whole thing. (excited) ,Statement Non Opinion ,Statement Opinion
"Oh, good. [LAUGHTER] (excited) ",Acknowledge ,Acknowledge
"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money (excited) ",Statement Opinion,Statement Opinion
I know. What do you think I should- (excited) ,Question,Question
"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something. (excited) ",Statement Opinion,Statement Opinion
Oh good idea. (excited) ,Acknowledge ,Agreement
Yeah.  Make her like open the bank account and stuff too. (neutral) ,Statement Opinion,Statement Opinion
Yeah. (excited) ,Agreement,Backchannel
It's a good idea. (excited) ,Acknowledge ,Agreement
"Dude, you lucked out. (excited) ",Statement Opinion,Statement Opinion
I know.  Also I get to like plan the wedding now too. That will be fun. (excited) ,Agreement,Statement Opinion
"Yeah.  My colors are blush and beige what is it, do you know? (excited) ",Question,Statement Opinion
"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something? (excited) ",Answer,Question
Oh I don't know. [LAUGHTER] (excited) ,Answer,Acknowledge
I don't know get it in cash. (neutral) ,Statement Non Opinion ,Statement Opinion
Just cash hardcore. (neutral) ,Statement Non Opinion ,Statement Opinion
Yeah. (neutral) ,Agreement,Backchannel
What should we do?  Where should we get married? We should have party. (excited) ,Question,Question
How exciting. You should have a wedding on the beach. (excited) ,Statement Opinion,Statement Opinion
"Yeah, like a big like- A wedding on the beach, that would be nice. (excited) ",Acknowledge ,Agreement
"Yeah, at night. (excited) ",Statement Non Opinion ,Statement Opinion
And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink. (neutral) ,Statement Opinion,Statement Opinion
"Oh yeah, absolutely, absolutely. (neutral) ",Agreement,Agreement
How exciting.  You should make her bring all your friends too. (excited) ,Statement Opinion,Statement Opinion
I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah. (excited) ,Statement Opinion,Statement Opinion
[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible. (excited) ,Acknowledge ,Statement Opinion
Incredible. (excited) ,Acknowledge ,Acknowledge
I'm going to marry a blue blood. [LAUGHTER] (excited) ,Statement Opinion,Statement Opinion
"you're a lucky, lucky, lucky man. (excited) ",Statement Opinion,Statement Opinion
Will you help me plan? (excited) ,Question,Question
"Oh, totally. Yeah. (excited) ",Answer,Agreement
Good. (xxx) ,Acknowledge ,Acknowledge
You seem kind of down. (neutral) ,Statement Opinion,Statement Non Opinion
I'm just mad. (xxx) ,Statement Opinion,Statement Opinion
How come? (xxx) ,Question,Question
It's--I've been trying to find this job I can't get any job. (frustrated) ,Answer,Statement Opinion
It's not fair. (frustrated) ,Statement Opinion,Statement Opinion
What do you mean? (neutral) ,Question,Question
"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job. (frustrated) ",Statement Non Opinion ,Statement Opinion
There's a lot of people looking for jobs. (neutral) ,Statement Non Opinion ,Statement Non Opinion
"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know. (frustrated) ",Statement Non Opinion ,Statement Opinion
"I don't know, I mean, I just don't think... (neutral) ",Statement Non Opinion ,Statement Non Opinion
"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know. (frustrated) ",Statement Non Opinion ,Statement Opinion
Did you ever think it might be your attitude that's... (neutral) ,Question,Question
"What's my--like what do you mean ""my attitude""? (xxx) ",Question,Question
"I don't know just sometimes you get kind of... No, I'm not saying that.  I just-- (neutral) ",Answer,Statement Non Opinion
Do I have an attitude problem? (xxx) ,Question,Question
"No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know. (frustrated) ",Answer,Statement Opinion
...has anyone ever just said anything like that to you before? (neutral) ,Question,Question
"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean? (frustrated) ",Statement Opinion,Statement Opinion
