"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
"Right, of course.  Our flashlight.  Mine and yours.  I mean, me flashlight is su flashlight naturally. (Agreement) ",neutral,frustrated
How could we forget to bring it?  I hope the moon stays out. (Statement Opinion) ,xxx,fear
"I wonder, do they always run during a full moon?  I can't remember if it was full last year.  Do you remember? (Question) ",neutral,neutral
Yeah. (Answer) ,neutral,neutral
"You cold?  Do you want my jacket?  Oh, we should've brought the blanket.  Our blanket. (Statement Non Opinion ) ",neutral,frustrated
"This is great, isn't it?  A six pack would be just the ticket right now. (Statement Non Opinion ) ",excited,excited
I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped. (Statement Opinion) ,excited,frustrated
You think they can hear us talk?  Or feel the vibrations in the sand when we move around? (Question) ,excited,neutral
I'm cold. (Statement Non Opinion ) ,xxx,sad
Do you want my jacket? (Question) ,neutral,neutral
"It's after eleven, let's just go home. (Statement Non Opinion ) ",frustrated,sad
Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home. (Question) ,xxx,surprised
There is no point in coming down here. (Answer) ,xxx,sad
Right. (Backchannel) ,neutral,neutral
That's my point. (Statement Non Opinion ) ,xxx,neutral
That's my point too. (Agreement) ,neutral,neutral
"So, let's go. (Command) ",xxx,neutral
No. No. That's not my point.  The point is there's no point in coming down if we just leave.  Don't you want to see it? (Disagreement) ,neutral,frustrated
Not particularly. (Answer) ,xxx,neutral
Why not? (Question) ,xxx,neutral
I just don't.  It's stupid. (Answer) ,xxx,sad
"Honey, this is a natural phenomenon.  I mean this only happens once a year, you know. (Statement Non Opinion ) ",xxx,neutral
"Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this.  We live forty minutes away.  It's too good to pass up. (Statement Non Opinion ) ",excited,neutral
"Pass up what?  These little fish swim onto the beach, they flop around, and swim away.  And then they die. (Statement Non Opinion ) ",frustrated,sad
"Yeah, but that moment on the beach, is the highlight of their little lives.  All that flopping is laying eggs or what do you--spawning or mating.  I mean, (Statement Non Opinion ) ",excited,neutral
this is a big night for these guys.  Life's last orgy. (Statement Opinion) ,excited,excited
"What are you so excited about?  I mean, it's not a moon landing we're talking about here.  It's fish.  It's a fish nobody even eats. (Statement Opinion) ",frustrated,anger
Yeah they do. (Disagreement) ,frustrated,neutral
"Ah, Augie. (Backchannel) ",frustrated,neutral
Alright.  But it's fish that do something that none of the other fish do.  Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs. (Statement Non Opinion ) ,excited,neutral
There's--there's a bit of the magic--some unexplainable here.  I don't see how you can not be interested. (Statement Opinion) ,xxx,excited
I'm just not. (Statement Non Opinion ) ,frustrated,neutral
For real? (Question) ,xxx,neutral
Yeah. (Answer) ,xxx,neutral
"I don't get it.  The first time we came here, you said it was the best night of your life. (Statement Non Opinion ) ",neutral,neutral
"And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car. (Statement Non Opinion ) ",xxx,neutral
"Last year, you will also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions. (Statement Non Opinion ) ",frustrated,sad
We weren't in a good spot. (Statement Opinion) ,neutral,neutral
We didn't see them the first time either. (Statement Non Opinion ) ,neutral,neutral
"We just weren't in a good spot.  This is a much better spot.  Believe me, I've got good instincts for these things. (Statement Opinion) ",xxx,neutral
There is that--no that's just seaweed isn't it? (Question) ,excited,frustrated
"Oh man, this is great, isn't it?  I wouldn't miss this for anything.  Here, think about this, all right, I know you're not interested, but think about this. (Command) ",excited,excited
"Somewhere out there, this huge mass of silver fish swimming this way. (Statement Non Opinion ) ",xxx,neutral
"They don't know why, we don't know why.  Nobody sent them an invitation or a map, it wasn't a decision, just- (Statement Non Opinion ) ",xxx,neutral
"all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming.  And they're swimming right now as if that's all that matters. (Statement Non Opinion ) ",excited,excited
It's like single mindedness with no mind.  It's urgency that's pure urge.  They don't know what drives them.  They don't ask it a question or give it a name. (Statement Opinion) ,excited,excited
"They just turn as one and start the swim that brings them right here to where we stand, for a massive celebration of sex and death. (Statement Non Opinion ) ",excited,excited
"Ah, God, I'm giving myself goose bumps.  Look, all my hairs are popped up. (Statement Non Opinion ) ",excited,excited
That's the wind. (Statement Non Opinion ) ,xxx,neutral
"Well, so what do you think? (Question) ",neutral,neutral
About what? (Question) ,neutral,neutral
What I was saying. (Answer) ,neutral,neutral
It's ridiculous. (Statement Opinion) ,xxx,anger
"Well, so what do you think? (Question) ",excited,neutral
About what? (Question) ,neutral,neutral
What I was saying. (Answer) ,neutral,neutral
It's ridiculous. (Statement Opinion) ,frustrated,frustrated
It certainly is not.  It's slightly exaggerated scientific fact. (Disagreement) ,neutral,frustrated
It's PR.  Somebody sold you a bill of goods that this wonderful event is gonna take place on the beach. (Statement Opinion) ,xxx,frustrated
"Well, I'm not the only one.  Look at all these people. (Disagreement) ",neutral,frustrated
"Sure, everybody's told the same story.  It keeps us all excited.  It keeps us coming back for more.  It keeps us thinking that life is gonna start any second now if we could just find the right spot and get in on the action. (Statement Opinion) ",xxx,sad
Are we talking about the same thing? (Question) ,xxx,frustrated
"Well, I'm sorry, but it's still just fish to me. (Answer) ",xxx,frustrated
"Carla, can I ask you something?  Don't take this wrong, but are you having your period? (Question) ",neutral,neutral
"God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting. (Answer) ",anger,anger
"Well, what's bugging you? (Question) ",frustrated,neutral
We just have different ideas of what this evening is supposed to look like. (Answer) ,anger,sad
"There's nothing to it.  We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish.  They go home. We go home. (Statement Non Opinion ) ",neutral,neutral
"For heaven sake, we're not going to see the grunions. (Statement Opinion) ",frustrated,frustrated
Why not? (Question) ,frustrated,neutral
"We never do, do we?  I mean, have we ever? (Question) ",frustrated,frustrated
We've missed them twice.  That's not ever. (Answer) ,neutral,neutral
Twice is every time we've tried. That's ever. (Statement Non Opinion ) ,frustrated,frustrated
"Well, we'll see them this year. (Statement Opinion) ",neutral,neutral
"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus. (Disagreement) ",frustrated,frustrated
"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up. (Statement Opinion) ",anger,sad
I thought you wanted to see it. (Statement Opinion) ,frustrated,neutral
You don't understand anything I'm saying. (Statement Non Opinion ) ,frustrated,frustrated
"No, of course not. (Disagreement) ",frustrated,frustrated
I did want to see it.  I always do.  I keep thinking that this is gonna be the time and it never is. (Statement Opinion) ,frustrated,sad
It's just fish.  Nothing to get traumatized about. (Statement Opinion) ,neutral,frustrated
"For heaven sake, this isn't about fish. (Statement Non Opinion ) ",xxx,frustrated
"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst. (Statement Non Opinion ) ",frustrated,frustrated
"I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news. (Statement Non Opinion ) ",xxx,neutral
"You said, ""Hey the grunion are running tonight.""  I said, ""Great, let's go.  I feel lucky."" (Statement Non Opinion ) ",neutral,neutral
"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage-- (Statement Non Opinion ) ",neutral,neutral
"Do you remember the first time we came to see it?  It was about four years ago, right after we got married. (Statement Non Opinion ) ",sad,sad
"I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork. (Statement Non Opinion ) ",sad,sad
"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them. (Statement Non Opinion ) ",sad,sad
"And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be. (Statement Non Opinion ) ",sad,sad
Wait a minute.  I've got it. (Command) ,neutral,excited
"Just dancing barefoot in the sand, drinking champagne out of the bottle. (Statement Non Opinion ) ",sad,sad
"It was in the car, right?  Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right? (Question) ",neutral,neutral
"Yeah, of course, I see it now.  You want this to be like that other time, right?  That's it, right? (Question) ",neutral,excited
I'd rather not remember some things.  I would rather not hope for some things. (Answer) ,sad,sad
"Okay, yeah, sure, I see it now.  Listen, you wanna dance? (Question) ",neutral,neutral
No. (Answer) ,sad,sad
You want me to go get some champagne? (Question) ,neutral,neutral
No. (Answer) ,sad,sad
Take off our shoes? (Question) ,neutral,neutral
No. No. (Answer) ,xxx,sad
"Well, what?  You want me to breathe in your ear? (Question) ",frustrated,frustrated
No. (Answer) ,sad,sad
You wanna get married again? (Question) ,frustrated,neutral
No. (Answer) ,frustrated,sad
What?  What?  You want a divorce? (Question) ,frustrated,surprised
No. (Answer) ,frustrated,sad
A vacation? (Question) ,frustrated,neutral
No. (Answer) ,frustrated,sad
"A new carpet?  A poodle?  Ice cream?  Back rub?  A suicide pact?  What?  What?  Carla, what the hell do you want? (Question) ",frustrated,frustrated
I want something to turn out the way that it's supposed to. (Answer) ,xxx,sad
"Well, welcome to the human race.  Do you think this is what I had in mind when I proposed?  That four years down the road, we'd be at the beach yelling at each other over fish? (Question) ",anger,frustrated
"No.  You think I knew that there'd be times when you'd look at me like a used Kleenex?  Or that I'd look at you and think, holy hell, when's the next flight to Alaska? (Statement Non Opinion ) ",xxx,sad
"No, Carla, I'm just like you.  I thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us (Statement Opinion) ",sad,sad
"cause you know what you get, Carla?  You know what you get?  This. (Statement Non Opinion ) ",frustrated,frustrated
This.  What?  What is this?  This isn't even anything. (Statement Non Opinion ) ,xxx,frustrated
"Yes, it is. (Disagreement) ",neutral,frustrated
"Uh, right this is standing on the beach.  This is waiting.  This is fighting. (Statement Opinion) ",xxx,sad
Right. (Agreement) ,neutral,neutral
Well.  This isn't anything like I thought anything would be like. (Statement Opinion) ,sad,sad
"I know, me neither. (Agreement) ",sad,sad
"I mean, this is just this.  It includes a lot and everything, but it isn't something else.  Do you have any idea what I'm trying to say? (Question) ",xxx,frustrated
I'm doing the best I can. (Answer) ,sad,neutral
"I know that, Augie.  Really, I do. (Agreement) ",sad,neutral
"I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else. (Statement Opinion) ",sad,sad
Maybe if you were with somebody else too. (Statement Opinion) ,sad,sad
I didn't say that. (Disagreement) ,sad,frustrated
"No, I know.  But still.  I know I don't make you happy. (Agreement) ",sad,sad
"Oh, for heaven sake, whatever I'm doing, I'd rather be doing it with you. (Statement Opinion) ",xxx,happy
Yeah? (Question) ,surprise,neutral
"Oh, don't be ridiculous.  I mean, don't you know that? (Question) ",xxx,frustrated
You're the one who probably wishes you were with someone else.  Someone who--you'd rather enjoy yourself and didn't take everything so hard. (Statement Opinion) ,sad,sad
"Well, now that you mention it.  No, I don't. (Disagreement) ",xxx,frustrated
"Okay.  Fine so.  We're in the wrong spot, but we're with the right person. (Statement Opinion) ",xxx,happy
"I don't know.  It seemed like a pretty good spot to me.  I mean, look at the view you have of the moon from here. (Statement Opinion) ",happy,happy
"Yeah, I noticed that.  Looks pretty, doesn't it?  Big ol' white moon. (Statement Opinion) ",xxx,happy
"Well, look what we have here. (Statement Non Opinion ) ",happy,neutral
"Augie, you brought refreshments. (Statement Non Opinion ) ",happy,surprised
It's not champagne. (Statement Non Opinion ) ,happy,neutral
"Well, then we don't need glasses. (Statement Non Opinion ) ",happy,neutral
You still cold?  Do you wanna go home? (Question) ,xxx,neutral
No.  I think you might be right.  Maybe this is the spot after all. (Answer) ,happy,happy
"Augie, I'm sorry. (Apology) ",sad,sad
Shh.  If we're very quiet the fish might come. (Statement Opinion) ,happy,happy
Or not. (Statement Opinion) ,happy,neutral
Or not. (Agreement) ,happy,neutral
Good God. (Statement Non Opinion ) ,xxx,surprised
Do you think it's them? (Question) ,fear,fear
I wonder. (Answer) ,neutral,neutral
"Well, nobody know we're here except Freda and she wouldn't ring up. (Statement Non Opinion ) ",fear,neutral
"Must be them, then. (Statement Non Opinion ) ",xxx,neutral
What're we gonna do? (Question) ,fear,fear
"We're all right, darling, aren't we?  Whatever happens. (Statement Non Opinion ) ",xxx,happy
"Now and always, sweet. (Agreement) ",xxx,happy
I don't care then. (Statement Non Opinion ) ,neutral,happy
It was bound to come sooner or later. (Statement Non Opinion ) ,xxx,sad
Hello?  Hello?  What?  Wrong number. (Statement Non Opinion ) ,neutral,neutral
"Ah, it send shivers up my spine. (Statement Non Opinion ) ",excited,fear
What do we do if they suddenly walk in on us? (Question) ,xxx,fear
Behave exquisitely. (Answer) ,happy,happy
With the most perfect poise? (Question) ,neutral,happy
"Oh, of course.  I shall probably do a court curtsy. (Answer) ",happy,happy
Things that ought to matter dreadfully don't matter at all when one's happy.  Do they? (Question) ,neutral,happy
What's so horrible is that one can't stay happy. (Answer) ,happy,sad
"Oh, darling, don't say that. (Command) ",neutral,frustrated
It's true.  The whole business is a very poor joke. (Statement Opinion) ,happy,sad
"Meaning that sacred and beautiful thing, love? (Question) ",neutral,surprised
"Yes, meaning just that. (Answer) ",happy,neutral
"Oh, what does it all mean?  That's what I ask myself in my ceaseless quest for ultimate truth.  Dear God, what does it all mean? (Question) ",xxx,frustrated
Don't laugh at me.  I'm serious. (Command) ,xxx,frustrated
"You mustn't be serious, my dear one.  That's just what they want. (Statement Opinion) ",neutral,frustrated
Who's they? (Question) ,neutral,neutral
All those futile moralists that try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths. (Answer) ,neutral,frustrated
Flippancy brings out the acid in their damn sweetness and light. (Statement Opinion) ,neutral,frustrated
"If I laugh at everything, then I must laugh at us too. (Statement Opinion) ",neutral,neutral
"Certainly, you must.  We're figures of fun, alright. (Agreement) ",neutral,happy
"Well how long will it last us, this ludicrous overbearing love of ours. (Question) ",neutral,sad
Who knows. (Answer) ,neutral,neutral
"Well, shall we always want to bicker and fight? (Question) ",neutral,neutral
"No, that desire will fade.  Along with our passion. (Answer) ",neutral,sad
"Oh, dear, shall we like that? (Question) ",neutral,neutral
Depends on how well we've played. (Answer) ,neutral,neutral
"Well, what happens if one of us dies?  I mean, does the one that's left still laugh? (Question) ",neutral,fear
Yes.  Yes. With all his might. (Answer) ,excited,happy
"That's serious enough, isn't it? (Question) ",xxx,neutral
"No. No, it isn't.  Death is very laughable.  Such a cunning little mystery.  All done with mirrors. (Answer) ",excited,frustrated
"Darling, I believe you're talking nonsense. (Statement Opinion) ",happy,frustrated
So is everyone else in the long run. (Statement Opinion) ,neutral,frustrated
"Let's be superficial and pity the poor philosophers.  Let's blow our trumpets and squeakers and enjoy the party as much as we can.  Like quite idiotic, very small school children.  Let's savor the delight of the moment. (Statement Opinion) ",excited,happy
"Come and kiss me, darling, before your body rots and worms pop in and out of your eye sockets. (Statement Opinion) ",excited,happy
"Elliott, worms don't pop. (Statement Non Opinion ) ",happy,neutral
"I don't care what you do.  See, you could paint yourself green and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word.  As long as you love me best. (Statement Opinion) ",neutral,happy
"Oh, thank you, dear.  The same applies to you except that if I catch so much as looking at another woman, I'll kill you. (Statement Opinion) ",happy,happy
You remember that awful scene we had in Venice? (Question) ,neutral,neutral
Which particular one? (Question) ,happy,neutral
The one when you bought that little painted wooden snake in the Piazza and put it on my bed. (Answer) ,neutral,neutral
Charles.  That was his name.  Charles.  He did wriggle so beautifully. (Statement Non Opinion ) ,happy,happy
"Ah, horrible thing.  I hated it. (Statement Opinion) ",xxx,frustrated
"Yes, I know you did.  You threw it out of the window into the Grand Canal.  I don't think I'll ever forgive you for that. (Agreement) ",happy,frustrated
How long did that row last? (Question) ,neutral,neutral
It went in intermittently for days. (Answer) ,happy,neutral
The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown. (Statement Non Opinion ) ,neutral,neutral
It burned my comb too and all the towels in the bathroom. (Statement Non Opinion ) ,happy,neutral
"That was a rouser, wasn't it? (Question) ",xxx,neutral
That was the first time you ever hit me. (Answer) ,neutral,sad
I didn't hit you very hard. (Statement Opinion) ,neutral,neutral
"The manager came in and found us rolling around on the floor, biting and scratching like panthers. (Statement Non Opinion ) ",happy,happy
"Oh, I'll never forget his face. (Statement Non Opinion ) ",excited,happy
It was ridiculous.  Completely ridiculous. (Statement Opinion) ,excited,happy
We were very much younger then. (Statement Non Opinion ) ,neutral,neutral
and very much sillier (Statement Opinion) ,xxx,happy
"As a matter of fact, the real cause of that row was Peter Burden. (Statement Non Opinion ) ",neutral,neutral
I knew nothing of the sort.  You took presents from him. (Statement Non Opinion ) ,neutral,neutral
Presents?  Just a trivial little broach. (Statement Non Opinion ) ,xxx,neutral
"Ah, yes, I remember it well.  Bristling with diamonds in the worst possible taste. (Statement Non Opinion ) ",xxx,frustrated
"No, it wasn't.  It was very pretty.  I still have it and I wear it often. (Disagreement) ",xxx,frustrated
You went out of your way to torture me over Peter Burden. (Statement Non Opinion ) ,xxx,anger
"No, I didn't.  You worked the whole thing up in your jealous imagination. (Disagreement) ",xxx,frustrated
"You must admit, he was in love with you, wasn't he? (Question) ",xxx,neutral
"Just a little perhaps, nothing serious. (Answer) ",xxx,neutral
You let him kiss you.  You said you did. (Statement Non Opinion ) ,xxx,anger
"Well, what of it? (Question) ",xxx,anger
What of it? (Backchannel) ,anger,surprised
It didn't hurt him at all and I enjoyed it. (Statement Non Opinion ) ,xxx,anger
"Well, what about me? (Question) ",anger,frustrated
"Well, if you hadn't been so suspicious and nosey, you never would have known a thing about it. (Answer) ",neutral,frustrated
"Well, that's a nice point of view I must say. (Statement Opinion) ",xxx,frustrated
I'm bored with this conversation. (Statement Opinion) ,xxx,frustrated
"Me, too.  Bored stiff.  You want some brandy? (Question) ",neutral,neutral
"No, thanks. (Answer) ",xxx,neutral
I think I'll have some. (Statement Non Opinion ) ,xxx,neutral
Don't see why you want any.  You've already had two glasses. (Statement Non Opinion ) ,xxx,frustrated
No particular reason.  Anyhow they were very small ones. (Statement Non Opinion ) ,neutral,neutral
Just seems so silly to go on and on and on with such a thing. (Statement Opinion) ,neutral,frustrated
You can hardly call three liquor glasses in a whole evening going on and on and on. (Statement Opinion) ,frustrated,frustrated
"Well, it's become a habit with you. (Statement Opinion) ",neutral,frustrated
"You needn't be so grand, just because you don't happen to want any yourself at the moment. (Statement Opinion) ",anger,frustrated
Don't be so stupid. (Statement Opinion) ,anger,anger
"Really, Amanda. (Disagreement) ",xxx,frustrated
What? (Question) ,anger,neutral
Nothing. (Answer) ,frustrated,neutral
Going out somewhere dear? (Question) ,xxx,neutral
"No, just making myself fascinating for you. (Answer) ",xxx,sad
That reply has broken my heart. (Statement Non Opinion ) ,xxx,sad
"A woman's job is to allure the man.  Watch me a minute, will you? (Statement Opinion) ",excited,neutral
"As a matter of fact, that's perfectly true. (Agreement) ",xxx,neutral
"No, it isn't. (Disagreement) ",frustrated,frustrated
"Yes, it is. (Disagreement) ",frustrated,frustrated
"Oh, be quiet. (Command) ",anger,anger
"Ah, it's a pity you didn't have any more brandy.  It might have made you a little less disagreeable. (Statement Opinion) ",xxx,anger
Doesn't seem to have worked such wonders with you. (Statement Opinion) ,frustrated,anger
"Snap, snap, snap, like a little adder. (Statement Opinion) ",frustrated,anger
"Adders don't snap, they sting. (Disagreement) ",anger,frustrated
Nonsense.  They have a little bag of venom behind their fangs and they snap. (Disagreement) ,frustrated,frustrated
They sting. (Disagreement) ,xxx,frustrated
They snap. (Disagreement) ,frustrated,frustrated
"I don't care, do you understand?  I don't care.  I don't care if they bark or roll about like hoops. (Statement Opinion) ",frustrated,anger
Did you see much of Peter Burden after our divorce? (Question) ,xxx,neutral
"Yes, I did.  Quite a lot. (Answer) ",xxx,neutral
"Hmm, I imagine you let him kiss you a good deal more then. (Statement Opinion) ",xxx,anger
Mind your own business. (Command) ,frustrated,anger
"Oh, must have had a riotous time. No restraint at all.  Very enjoyable and never had much anyhow. (Statement Opinion) ",xxx,anger
You're quite insufferable (Statement Opinion) ,anger,anger
I'm not in the least drunk. (Disagreement) ,anger,frustrated
You've always had a weak head. (Statement Opinion) ,xxx,frustrated
"On the contrary, a child of two could get violently drunk on only one glass of brandy. (Statement Opinion) ",frustrated,frustrated
"Oh, very interesting.  How about a child of four?  A child of six?  Or a child of nine? (Question) ",frustrated,anger
Shut up. (Command) ,anger,anger
"We could get a good debate going about this, don't you think?  Intemperate tots. (Statement Opinion) ",anger,anger
"Not very funny, dear.  You'd better have some more brandy. (Statement Opinion) ",frustrated,frustrated
All right.  I will. (Agreement) ,xxx,neutral
"You better turn that off, I think. (Statement Opinion) ",xxx,neutral
Why? (Question) ,anger,neutral
Because it's late and it'll annoy the people upstairs. (Answer) ,frustrated,neutral
There aren't any people upstairs.  It's a photographer's studio. (Statement Non Opinion ) ,frustrated,neutral
There are people downstairs I suppose? (Question) ,frustrated,neutral
They're away in Tunis. (Answer) ,xxx,neutral
This is no time of the year for Tunis. (Statement Opinion) ,frustrated,neutral
"Turn it on again, please. (Command) ",anger,frustrated
I'll do no such thing. (Disagreement) ,anger,anger
"Very well, if you insist on being boorish and idiotic. (Disagreement) ",anger,anger
Turn it off.  It's driving me mad. (Command) ,anger,anger
You are far too temperamental.  Try to control yourself. (Statement Opinion) ,anger,frustrated
Turn it off. (Command) ,anger,anger
Stop it.  Go away.  I hate you. (Command) ,anger,anger
"Amanda, listen. listen (Command) ",anger,frustrated
"Listen?  Listen, indeed.  I am sick and tired of listening to you, damn sadistic bully. (Statement Opinion) ",anger,anger
"Very amusing, indeed. (Disagreement) ",frustrated,anger
"I hate you.  Stop it.  Stop it.  I hate you, do you hear?  You're conceited and overbearing and utterly impossible. (Statement Opinion) ",anger,anger
"You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live. (Statement Opinion) ",anger,anger
This is the end.  Finally and forever.  Do you hear me?  The end. (Statement Non Opinion ) ,anger,sad
You're not going like this. (Command) ,anger,anger
"Oh Yes, I am. (Disagreement) ",anger,anger
You're not. (Disagreement) ,anger,anger
I am.  Let go of me.  You're a cruel fiend and I hate and loathe you. (Statement Opinion) ,anger,anger
Shut up. Shut up. (Command) ,anger,anger
I wouldn't-- I wouldn't marry-- (Statement Non Opinion ) ,anger,sad
I wouldn't marry you if you came in crawling on your knees (Statement Opinion) ,anger,anger
Thank God I realized what you are-- I'd never marry you again ever in my life. You're a cruel fiend and I hate you. You're a beast. You're a beast--I hate you. Stop it.  Stop it. (Statement Opinion) ,anger,anger
You're a evil vampire and I hope to God I never see you again as long as I live. (Statement Opinion) ,anger,anger
All right. Finally. Here you go. (Statement Non Opinion ) ,frustrated,neutral
"Hi, How can I help you? (Greeting) ",neutral,neutral
"Yea. I just want to get this done, (Statement Non Opinion ) ",neutral,frustrated
"Sure, um (Acknowledge ) ",neutral,neutral
get my new license. (Statement Non Opinion ) ,neutral,neutral
do you have two forms of ID with you? (Question) ,neutral,neutral
"Um, no, I got my driver's license though. (Answer) ",neutral,neutral
"I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry. (Statement Non Opinion ) ",neutral,neutral
"Uh, sorry, I forgot them. I mean I've got to - (Apology) ",neutral,frustrated
Well (Backchannel) ,neutral,neutral
well is the dri-driver's license going to work? (Question) ,neutral,frustrated
I- I can take your driver's license but I need another form of ID in order to process this paper work. (Statement Non Opinion ) ,neutral,neutral
"Okay, so what are you saying? What- (Question) ",frustrated,frustrated
"Um, that you would need to go home and get another form of ID and come back. (Answer) ",neutral,neutral
"What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after (Statement Non Opinion ) ",anger,anger
"Well, I'm sorry sir but (Apology) ",frustrated,neutral
three hours and (Statement Non Opinion ) ,anger,anger
you need to bring two forms of ID there is nothing we can do about it. (Statement Non Opinion ) ,frustrated,neutral
Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again? (Question) ,anger,anger
"Well, it's actually- (Statement Non Opinion ) ",frustrated,neutral
"It's standard that you bring a couple of forms of ID, I'm sorry. (Statement Non Opinion ) ",frustrated,neutral
"It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my (Question) ",anger,anger
"Well, I'm sorry, sir, but we're not responsible. (Apology) ",frustrated,neutral
"I filled out the application right, didn't I? (Question) ",anger,frustrated
"Yes, you did, thank you very much, but we're not responsible if you've forgotten something, and we need to have two forms of ID. (Answer) ",frustrated,neutral
Okay. What about - no -- how about you hold that and I'll - I'll go and I can come back- (Question) ,frustrated,frustrated
"I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again. (Apology) ",frustrated,neutral
I've been waiting for three hours. (Statement Non Opinion ) ,frustrated,frustrated
"It just happens to people all the time, I'm sorry sir, but I can't make an exception for you. (Statement Non Opinion ) ",frustrated,neutral
This is ridiculous. Come on (Statement Opinion) ,frustrated,anger
"I'm sorry, sir. (Apology) ",neutral,neutral
"I cannot go back in that line. I've got stuff I need to do, I mean- (Statement Non Opinion ) ",frustrated,frustrated
there is nothing I can do. (Statement Non Opinion ) ,neutral,neutral
"But my driver's license - I had to have my birth certificate to get my driver's license in the first place right, I mean this - here is my driver's license so (Statement Non Opinion ) ",xxx,frustrated
"I know sir, but we have to have two forms. There is nothing I can do about it, I'm sorry. (Statement Non Opinion ) ",frustrated,neutral
That doesn't make any sense. Why? (Question) ,frustrated,anger
"I'm sorry, sir. There is nothing I can do. (Apology) ",frustrated,neutral
You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application (Statement Non Opinion ) ,anger,frustrated
"Well, if you had checked the web site it would have said. (Statement Non Opinion ) ",frustrated,neutral
If you had checked the website it would have said that you needed two forms of identification. (Statement Non Opinion ) ,frustrated,neutral
"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home. (Statement Non Opinion ) ",anger,anger
"Well, maybe you should (Statement Opinion) ",frustrated,neutral
I waited in line now I'm ready to get my stuff and then go home. (Statement Non Opinion ) ,frustrated,frustrated
Right. So maybe you should go home now and get your paperwork and come back. (Statement Non Opinion ) ,frustrated,neutral
"I'm sorry sir but there's a lot of people waiting. So if you won't move out of the way, then I'm going to have to call security. (Apology) ",frustrated,neutral
"God, oh my- (Backchannel) ",frustrated,surprised
This is ridiculous. (Statement Opinion) ,frustrated,anger
"I'm sorry, sir, it's not my choice. (Apology) ",frustrated,neutral
"I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard. (Statement Opinion) ",sad,sad
I don't want to be a single mom. (Statement Opinion) ,sad,fear
"You won't be. I'll be back; I'll be back before you know it. All right, and (Disagreement) ",sad,neutral
but (Backchannel) ,sad,neutral
and (Backchannel) ,sad,neutral
It's dangerous; I mean how can you make sure that you'll (Statement Opinion) ,sad,fear
"It's- It's dangerous anywhere, honey. I mean this is -this- I'm just going to go and we'll get it over with, (Statement Non Opinion ) ",frustrated,neutral
"I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us. (Statement Non Opinion ) ",xxx,happy
I hope so. (Statement Opinion) ,sad,sad
A little family. (Statement Non Opinion ) ,xxx,happy
I hope so. (Statement Opinion) ,sad,sad
You gotta (Command) ,xxx,neutral
It's going to be really rough. (Statement Opinion) ,sad,sad
"You gotta take care of our baby for me, alright? (Statement Non Opinion ) ",sad,neutral
I'll send you lots of pictures. (Statement Non Opinion ) ,sad,neutral
